galaxy,k,N_reference,N_p16,N_p84,y96_x96,y3680_x608,y1120_x608,y2656_x96
NGC 3379,0.004475359374598403,20.43538215602806,16.450269564472592,55.44705045472088,17.766805338525405,85.30221182197333,15.235005773039218,23.10395897353071
NGC 3379,0.013426078123795208,8.371877038290938,6.90484627145991,13.606781186824016,6.749024431918844,17.24063999409005,7.073653264296063,9.67010081228581
NGC 3379,0.022376796872992013,4.020075658812945,2.944399488939416,7.209625293372983,2.2874187857383137,9.817873810130862,4.384022733551945,3.6561285840739424
NGC 3379,0.031327515622188815,3.4843476636544546,2.9397538623594612,4.261259660744319,3.460912724550543,4.956776945039044,3.507782602758365,2.458684143413846
NGC 3379,0.04027823437138563,2.422707457546954,2.2373701392166714,2.7594034343025426,2.4283620809151807,3.0649800681985684,2.0715091900209277,2.4170528341787265
NGC 3379,0.049228953120582425,2.316694722068424,2.094074522980846,2.5168163894883535,2.1449329860139597,2.5429947876718595,2.0471282494118177,2.488456458122888
NGC 3379,0.05817967186977923,2.1948170505321927,2.05522005260845,2.3639948955646637,1.9535705486759114,2.4929497968283356,2.224293752529018,2.165340348535366
NGC 3379,0.06713039061897604,1.8213089727955307,1.6601041726042547,2.2008959774752337,1.5494193412570676,2.5131643821963525,1.8626052056940205,1.7800127398970402
NGC 3379,0.07608110936817285,1.6376627921452693,1.5654494685793214,1.9285823012953247,1.6737656688159648,2.163797654353195,1.6015599154745732,1.5321167483683196
NGC 3379,0.08503182811736965,1.6472183597093004,1.5638815036284823,1.831484537774126,1.5804102019812527,1.9399073257773054,1.5486242436105402,1.714026517437348
NGC 3379,0.09398254686656646,1.4266129189851344,1.3871205673197429,1.5701982466656363,1.3817715146129044,1.6716331233864223,1.3929153744188174,1.460310463551451
NGC 3379,0.10293326561576326,1.4241118013193101,1.3324363086009727,1.4807922817181836,1.2793165714196266,1.3899826905474304,1.5016089306046392,1.4582409120911897
NGC 3379,0.11188398436496007,1.268785512982636,1.2043483036010803,1.3764225607840914,1.29488554358174,1.168960138571125,1.2426854823835314,1.451687499740108
