galaxy,ring,branch,space,sigma,threshold_median,threshold_scale,threshold_n_pixels,lower,upper,changed_pixels,changed_fraction,subtracted_mean,n_use
NGC 4621,inner,no_winsor,none,,,,,,,0,0.0,-0.0020288301481357317,646004
NGC 4621,inner,raw_global_3p5,raw,3.5,-0.12137499451637268,0.663286030292511,3966840.0,-2.442876100540161,2.2001261115074158,29251,0.04527990538758274,-0.007219626768432782,646004
NGC 4621,inner,normalized_full_3p5,normalized_full,3.5,-0.05368954827901265,0.25611427880562804,3966840.0,-0.9500895240987107,0.8427104275406855,3601,0.0055742688899759136,-0.002783417702173268,646004
NGC 4621,inner,normalized_union_3p5,normalized_union,3.5,-0.0461148578807941,0.2566018292711558,2644656.0,-0.9442212603298394,0.8519915445682513,3359,0.005199658206450734,-0.002733380975155189,646004
NGC 4621,outer,no_winsor,none,,,,,,,0,0.0,-0.01992937540177468,1998652
NGC 4621,outer,raw_global_3p5,raw,3.5,-0.12137499451637268,0.663286030292511,3966840.0,-2.442876100540161,2.2001261115074158,7526,0.003765537972593528,-0.020436225541754435,1998652
NGC 4621,outer,normalized_full_3p5,normalized_full,3.5,-0.05368954827901265,0.25611427880562804,3966840.0,-0.9500895240987107,0.8427104275406855,6321,0.003162631613707639,-0.02032367495758764,1998652
NGC 4621,outer,normalized_union_3p5,normalized_union,3.5,-0.0461148578807941,0.2566018292711558,2644656.0,-0.9442212603298394,0.8519915445682513,5894,0.002948987617654299,-0.02029527873457161,1998652
