sma,intens,x0_full,y0_full,eps,pa,node_origin,grad
20.0,615.077272838628,8476.920077914085,3186.1917064514278,0.07931678370115436,1.7122564292939288,fitted,-17.847706587512494
30.0,436.60020696350307,8476.91532412866,3186.2588136116483,0.05251721908330042,1.738682057927751,fitted,-14.076410869781734
40.0,333.54905544299334,8477.115185552024,3186.0149496644867,0.043470162870506465,1.6827444994732246,fitted,-8.388505285039894
50.0,268.83010126270517,8477.076578605918,3185.9837427635525,0.04513339138957336,1.6591474659562626,fitted,-5.479175862167208
60.0,223.96553819964916,8476.99157235417,3186.238334802538,0.053890038053737266,1.6702718897994073,fitted,-3.995058774872038
70.0,188.9289257652644,8477.0555664796,3186.3595947413346,0.049705871616261874,1.7041673083509834,fitted,-3.0522657019016735
80.0,162.9202241616157,8477.299084063186,3186.2055481464404,0.05886415062847708,1.6957301162920153,fitted,-2.3750914818413777
90.0,141.42709612843686,8477.183051931062,3186.120866012807,0.05890329420529631,1.7201274584633,fitted,-1.939321895913644
100.0,124.13378624334281,8477.084680143329,3186.091242073245,0.05708299350314846,1.7094148168888086,fitted,-1.5781175873551043
110.0,109.86474438133477,8477.2036895911,3186.309227508754,0.05496604182645383,1.7144904903934126,fitted,-1.288588775530743
120.0,98.36201073272795,8477.621468182784,3186.0367182168707,0.04876711097194358,1.7850489992526786,fitted,-0.9994903070539713
130.0,89.87493824025535,8477.32820348248,3185.5201836869815,0.061302924975791824,1.728525194388103,fitted,-0.8064572110942606
140.0,82.23286651084274,8476.875203251948,3185.910990806175,0.05987123528477494,1.7195122073346576,fitted,-0.7051256216755604
150.0,75.77242580674414,8477.118791065714,3186.3174937486074,0.05793645237383274,1.6630279994341859,fitted,-0.6039411737441412
160.0,70.15404303595992,8476.72687173279,3185.697958545921,0.05163245572603392,1.7088292091239985,fitted,-0.5263054986042747
170.0,65.24631583465865,8476.887231254888,3185.661642373147,0.058733042522712074,1.7393485433548794,fitted,-0.4814198723073737
180.0,60.52564558981244,8476.966562663772,3186.0475322734583,0.056284787992551405,1.721779375666499,fitted,-0.43736952734737927
190.0,56.49892528771106,8477.13157177717,3186.1000327372903,0.05843877087717747,1.7235683904112151,fitted,-0.38873804133123147
200.0,52.75088476318781,8477.201286538026,3185.8697735019236,0.0575700110924832,1.6739170656063067,fitted,-0.36374277642244196
210.0,49.22406975926222,8477.028172679926,3186.495406435462,0.05417784800008331,1.758493812089421,fitted,-0.35277625815904834
220.0,45.695359600006846,8477.319660610146,3186.6880643184204,0.053322852007736336,1.7299024596047532,fitted,-0.33029301930652577
230.0,42.618209373131705,8476.764165855491,3186.202728230905,0.04445139514969804,1.6999536566253401,fitted,-0.28398208041969897
240.0,40.01571799161287,8477.360981914766,3186.2802429029553,0.0500939694612331,1.6999536566253401,fitted,-0.2705962140882022
250.0,37.20628509136766,8477.663390211856,3186.433982642872,0.041245428249917504,1.7231152332846411,fitted,-0.2513311723136951
260.0,34.989094545338965,8477.609324495963,3185.5582142198095,0.04180561712109284,1.7929888367520739,fitted,-0.23315834500855104
270.0,32.54311819119664,8478.075915329835,3186.292500491291,0.03791874232463226,1.6771233937952204,fitted,-0.21934424868828675
280.0,30.60220957157323,8477.290862802472,3186.75577799015,0.038776632272551854,1.7319074265620464,fitted,-0.18994550322466974
290.0,28.744208126703246,8477.451328771545,3186.0347896834924,0.03735668391254281,1.7481383901255296,fitted,-0.1850268194063199
300.0,26.90167318344683,8477.819252253536,3185.93475671369,0.03735668391254281,1.712793783601113,fitted,-0.1620132107995124
310.0,25.503943910712998,8477.076303474176,3185.5817497530875,0.03404446741503485,1.7523647384794436,fitted,-0.14516933437455445
320.0,23.998286495955742,8477.076303474176,3185.5817497530875,0.03404446741503485,1.7523647384794436,fitted,-0.1336347601020412
330.0,22.831248708672174,8476.849558756174,3182.6338745432727,0.025491187628413153,1.8267439189377892,fitted,-0.1336400686355601
340.0,21.32548512324454,8476.089188303748,3185.539523046979,0.025491187628413153,1.8267439189377892,fitted,-0.1277539513555853
350.0,20.276169681560468,8477.389801443573,3185.0030451804087,0.027386285636250694,1.735729228878284,fitted,-0.08973776473594537
360.0,19.530729828525633,8476.19559563789,3186.317485390532,0.03564200691869686,1.735729228878284,fitted,-0.08576008758961855
370.0,18.560967929768097,8477.402298957602,3186.5183350106063,0.03564200691869686,1.735729228878284,fitted,-0.08698519123183938
380.0,17.791026003888845,8476.756957557245,3187.1461345015355,0.03961731266117386,1.6928238309563621,fitted,-0.08094849659729811
390.0,16.941997997822135,8477.165093263498,3185.8014439464237,0.037843822845582666,1.6650964039843141,fitted,-0.08004373552280786
400.0,16.190151293432688,8476.92634736929,3184.78376708843,0.04201493161583687,1.730165508718246,fitted,-0.06834238215968877
410.0,15.57515035462836,8477.359482285443,3185.504650714761,0.04059837274333417,1.6676664922272348,fitted,-0.06987996962410588
420.0,14.79255190095057,8476.592680553607,3186.5186297887562,0.04059837274333417,1.6713576846506164,fitted,-0.06773589092958003
430.0,14.220432536036759,8476.791759045911,3184.545635613712,0.04059837274333417,1.7234285005615524,fitted,-0.049359404400072825
440.0,13.805363812949114,8476.285939417468,3187.8338385270918,0.05478876756747677,1.7234285005615524,fitted,-0.05330625649495566
450.0,13.154307406137645,8476.758815453326,3184.759793410342,0.04431416608235992,1.7234285005615524,fitted,-0.06571897305390824
460.0,12.49098435187095,8477.970331568271,3188.1452404258034,0.03942441412317269,1.750950556473327,fitted,-0.05086129886307589
470.0,12.137081428876128,8478.021716304691,3187.863106482038,0.048092435865082904,1.750950556473327,fitted,-0.04405856401841586
480.0,11.609813071502632,8478.021716304691,3187.863106482038,0.048092435865082904,1.750950556473327,fitted,-0.03892540933409343
490.0,11.35857324219426,8478.021716304691,3187.863106482038,0.057774719398877884,1.750950556473327,fitted,-0.03919076472783347
500.0,10.825997776945963,8478.467437902083,3186.3623928259576,0.051910276526117204,1.8454858076601008,fitted,-0.0444742128199044
510.0,10.469088985796171,8477.950732340894,3188.179036175944,0.053050630567981,1.8254630347625622,fitted,-0.040365820122828744
520.0,10.018681374489388,8476.976874996615,3187.9732928359313,0.051524391455122005,1.779001126889796,fitted,-0.03423193799454651
530.0,9.78445022590524,8477.711579459461,3184.495671946849,0.051524391455122005,1.779001126889796,fitted,-0.027772763047913162
540.0,9.463226113531125,8477.051224230057,3187.6213711308387,0.05751332577210257,1.779001126889796,fitted,-0.03652437922970897
550.0,9.053962641311061,8477.521876409615,3188.114881634404,0.05067526910631776,1.7591535255050048,fitted,-0.03448446023672282
560.0,8.773536908796668,8476.995171245588,3188.021672467657,0.05640192249624132,1.7629451016880264,fitted,-0.024659557815866772
570.0,8.560771484993726,8477.800123663257,3188.8230741645166,0.06325648178529791,1.7372281784170265,fitted,-0.022075507136923633
580.0,8.332026766058195,8478.643007677187,3186.4538377751724,0.06073782923046593,1.7675619739495463,fitted,-0.026099353687563463
590.0,8.038784411242457,8478.594869268823,3186.4442416254446,0.06073782923046593,1.7675619739495463,fitted,-0.029344837732020013
600.0,7.745130011417795,8480.207722639234,3187.634571765314,0.05883107903175596,1.7882996822497506,fitted,-0.0249786285912438
610.0,7.539211839417581,8478.794933656574,3187.346426648165,0.05883107903175596,1.7719916862279037,fitted,-0.01936770375883525
620.0,7.35777593624109,8478.738454024557,3191.141834831441,0.05883107903175596,1.7719916862279037,fitted,-0.02055424642670829
630.0,7.128126910883415,8478.738454024557,3191.141834831441,0.05883107903175596,1.7719916862279037,fitted,-0.01826088869807805
640.0,6.992558162279529,8479.302946299202,3188.374102813955,0.068466488052115,1.8658132615526504,fitted,-0.01127236395088609
650.0,6.902679631865693,8480.458649797025,3184.5710043756435,0.06703660117039234,1.8658132615526504,fitted,-0.01556689718631601
660.0,6.681220218553209,8478.688837016429,3190.810701495677,0.06703660117039234,1.7396224502585935,fitted,-0.02420724328394317
