summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.6245217834877971,0.005088987017520863,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.6232140832362392,0.007196914458918612,simple annulus-matched diagnostic color summary
