summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.5745510026330429,0.015671394124781246,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.5814406907502045,0.02216269811255968,simple annulus-matched diagnostic color summary
