run_id,job_id,target,sample_count,max_process_rss_bytes,max_children_rss_bytes,max_swap_used_bytes,min_ram_available_bytes,min_disk_free_bytes,first_sample_at,last_sample_at
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-5fc473f0d09584eca5d3499a8323450a81fbe2592ca94d69ea7e4ee5a80e7343,NGC 4387,10,5961072640,1887354880,16515137536,14519435264,203749990400,1784615809.145694,1784616049.2360451
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-1d0d0ee50401df87b2bfc36ae11e7011097cbe9c71aad383cc743023d82b66f2,NGC 4388,8,6243876864,2096316416,16515137536,13163102208,203654766592,1784616079.403369,1784616259.4758809
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9b8a035b409d29e6ea235ad78adae843294bd2c2ae89b47b88e64d4d6eaac81b,NGC 4402,20,5905924096,2317811712,16515137536,12773474304,203547758592,1784616289.640054,1784616829.838689
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-fc1e75a022ae2153706d5f37bb43912b9067eaba6981d4757e483d0ce3fbe911,NGC 4413,122,12962840576,2279342080,16506748928,10172186624,202992553984,1784616860.043691,1784620461.302776
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9643ca2935bde8391ab5583cdc2bca07044b60d7381afc9d62143784cec7af60,NGC 4435,17,5930254336,2304442368,16456220672,13842874368,203045847040,1784620491.954019,1784620942.1148732
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,146,13196640256,1826947072,16439443456,9803464704,202807009280,1784620972.28721,1784625293.3228219
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,150,14022033408,2089041920,16281239552,9530490880,202297528320,1784625323.978401,1784629765.371719
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-588bb373439fc4f23239c70b39233861fe2c128701254f907d190e3acc370831,NGC 4442,147,12534382592,1788510208,16256073728,9221652480,199092404224,1784629796.0260532,1784634147.6047099
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c5670970b0bc34c6653cf94dabd24e519580586dd7fb33fb899440ba763358f6,NGC 4452,13,8059305984,2117222400,16214130688,12683821056,198609580032,1784634178.263585,1784634508.3622131
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c70019e8109897e40b8b8cbdefa5bfde4d5441138ad31453d77982d213b1bbb9,NGC 4458,144,13022314496,1712275456,28503244800,6081052672,107763924992,1784634538.522325,1784638799.476647
