event_id,run_id,job_id,target,attempt_id,created_at,level,event_type,message,payload_json
1930,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784620972.294358,INFO,ATTEMPT_STARTED,,"{""attempt_no"":1,""pid"":83145}"
1931,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784625323.3344178,INFO,WORKER_SUPERVISION_ENDED,,"{""completed"":true,""detail"":null,""duration_seconds"":4351.352173792024,""ended_monotonic"":480113.788617125,""last_sample"":{""available_ram_bytes"":11004444672,""collector"":""psutil"",""disk"":{""free_bytes"":203808149504,""free_gib"":189.81113052368164,""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data"",""total_bytes"":994662584320,""total_gib"":926.3517189025879,""used_bytes"":790854434816,""used_gib"":736.5405883789062},""disk_free_bytes"":203808149504,""monotonic"":480083.778345291,""pid"":83145,""swap"":{""free_bytes"":898629632,""free_gib"":0.8369140625,""percent"":94.8,""total_bytes"":17179869184,""total_gib"":16.0,""used_bytes"":16281239552,""used_gib"":15.1630859375},""swap_used_bytes"":16281239552,""system_ram"":{""available_bytes"":11004444672,""available_gib"":10.248687744140625,""percent"":68.0,""total_bytes"":34359738368,""total_gib"":32.0,""used_bytes"":11670224896,""used_gib"":10.868743896484375},""timestamp_utc"":""2026-07-21T09:14:53.317+00:00"",""worker"":{""child_count"":1,""children_rss_bytes"":5439488,""children_rss_gib"":0.00506591796875,""pid"":83145,""rss_bytes"":7368097792,""rss_gib"":6.8620758056640625,""status"":""sleeping"",""total_rss_bytes"":7373537280,""total_rss_gib"":6.8671417236328125},""worker_children_rss_bytes"":5439488,""worker_rss_bytes"":7368097792,""worker_total_rss_bytes"":7373537280},""ok"":true,""reason"":""completed"",""returncode"":0,""sample_count"":145,""signal_name"":null,""started_monotonic"":475762.436443333,""termination"":null}"
1932,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,,1784625323.7945359,INFO,JOB_STATE_CHANGED,,"{""from"":""RUNNING"",""to"":""VERIFYING""}"
1933,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784625323.7974038,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":166,""kind"":""clean_model_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_01_модель_чистая.fits"",""verified"":true}"
1934,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784625323.798992,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":167,""kind"":""clean_isophotes_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_02_изофоты_чистые.fits"",""verified"":true}"
1935,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784625323.800688,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":168,""kind"":""full_residual_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_03_остатки_общие.fits"",""verified"":true}"
1936,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784625323.801758,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":169,""kind"":""working_residual_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits"",""verified"":true}"
1937,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784625323.803023,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":170,""kind"":""working_annuli_residual_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits"",""verified"":true}"
1938,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784625323.804063,INFO,ATTEMPT_ENDED,,"{""exit_code"":0,""state"":""SUCCEEDED""}"
1939,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,,1784625323.80496,INFO,JOB_STATE_CHANGED,,"{""from"":""VERIFYING"",""to"":""SUCCEEDED""}"
