program,obsid,galaxy,status,method_generation,signal_filter,color_filter,color_name,mbar,sigma_mbar,absolute_mbar,sigma_absolute_mbar,external_distance_modulus,color,color_sigma,mbar_inner,mbar_outer,inner_outer_delta,selected_region,selection_method,qc_status,qc_reasons,k_stability_mag,Pr_over_P0,uses_two_annuli,result_json,worker_log,clean_model_fits,clean_isophotes_fits,full_residual_fits,working_residual_fits,working_annuli_residual_fits,error,model_id,model_residual
3055,,NGC 4621,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.349976863588438,0.09866774128845002,-3.47102313641156,0.0368212240477113,30.821,0.3126099258028712,0.09207779049155104,27.531494024935178,27.334158542358278,0.19733548257690003,inner+outer_weighted,inverse_variance_two_annuli,SERSIC_FIT_WARNING,truncated_file_warning;sersic_fit_warning,,0.03339247414306989,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4621_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4621/jw03055-o009_t009_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4621/jw03055-o009_t009_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4621/jw03055-o009_t009_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,,
3055,,NGC 4636,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.54826834900649,0.1292339382291292,-3.521731650993509,0.0516519430819878,31.07,0.31061520437175283,0.12904169413880318,27.67991992232716,27.4214520458689,0.2584678764582584,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.030171579613194114,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4636_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,0.03662152356083581
3055,,NGC 4649,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.569379992743038,0.13671798816689318,-3.439620007256959,0.0464382850680712,31.009,0.32624959675149456,0.11721543135069748,27.790805546633194,27.517369570299408,0.27343597633378636,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.018518372721115114,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4649_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,0.10051263073662753
3055,,NGC 4697,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,26.740944905747984,0.07419800037892443,-3.5830550942520176,0.0514855351765991,30.324,0.35757924557071386,0.10033260642640804,26.783299583468395,26.634903582710546,0.14839600075784887,inner+outer_weighted,inverse_variance_two_annuli,ISOPHOTE_REAL_ONLY_FAILED;SERSIC_FIT_WARNING,isophote_real_only_failed;sersic_fit_warning,,0.0245654350819755,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4697_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,,
7763,o001_t001,NGC 4579,done,sbf3_single_annulus_qc_v1,F150W,F115W,F115W-F150W,27.341998463744375,0.08279291879577184,,,,0.22762912786424544,0.02371911856927681,27.341998463744375,27.15269081213542,0.18930765160895646,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,PASS,all encoded checks passed,0.055843058677844226,0.022909435063042945,false,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4579__F150W__F115W__0005d2eb60b2_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4579__F150W__F115W__0005d2eb60b2_result.log,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4579/F150W__F115W/0005d2eb60b2/jw07763-o001_t001_nircam_clear-f150w_i2d_01_модель_чистая.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4579/F150W__F115W/0005d2eb60b2/jw07763-o001_t001_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4579/F150W__F115W/0005d2eb60b2/jw07763-o001_t001_nircam_clear-f150w_i2d_03_остатки_общие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4579/F150W__F115W/0005d2eb60b2/jw07763-o001_t001_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4579/F150W__F115W/0005d2eb60b2/jw07763-o001_t001_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,,go7763_virgo_single_annulus_all,-0.5696278142876565
7763,o002_t002,NGC 4569,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4569__F150W__F115W__d66d4edaa17a_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets,,
7763,o003_t003,NGC 4548,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4548__F150W__F115W__cea29b2dba21_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets,,
7763,o004_t004,NGC 4473,done,sbf3_single_annulus_qc_v1,F150W,F115W,F115W-F150W,27.64688450127236,0.01817523480883348,,,,0.21451269663459532,0.018378252755230997,27.64688450127236,27.50251246336407,0.14437203790829045,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,PASS,all encoded checks passed,0.012259027929875543,0.020320761292108573,false,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4473__F150W__F115W__a7cece59c6f8_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4473__F150W__F115W__a7cece59c6f8_result.log,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4473/F150W__F115W/a7cece59c6f8/jw07763-o004_t004_nircam_clear-f150w_i2d_01_модель_чистая.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4473/F150W__F115W/a7cece59c6f8/jw07763-o004_t004_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4473/F150W__F115W/a7cece59c6f8/jw07763-o004_t004_nircam_clear-f150w_i2d_03_остатки_общие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4473/F150W__F115W/a7cece59c6f8/jw07763-o004_t004_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4473/F150W__F115W/a7cece59c6f8/jw07763-o004_t004_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,,go7763_virgo_single_annulus_all,-0.3002417803097721
7763,o005_t005,NGC 4429,done,sbf3_legacy_two_annuli,F150W,F115W,F115W-F150W,27.56846824480632,0.016985747038658194,,,,0.21757331198458785,0.0044524054897188275,27.563009339790938,27.56855648753105,-0.005547147740113445,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,LEGACY,accepted result from the previous two-annulus selection,,0.016333901531521117,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4429__F150W__F115W__6bb78b3d5d2f_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4429__F150W__F115W__5ef717431022_result.log,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4429/F150W__F115W/5ef717431022/jw07763-o005_t005_nircam_clear-f150w_i2d_01_модель_чистая.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4429/F150W__F115W/5ef717431022/jw07763-o005_t005_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4429/F150W__F115W/5ef717431022/jw07763-o005_t005_nircam_clear-f150w_i2d_03_остатки_общие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4429/F150W__F115W/5ef717431022/jw07763-o005_t005_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4429/F150W__F115W/5ef717431022/jw07763-o005_t005_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,,,
7763,o006_t006,NGC 4438,done,sbf3_single_annulus_qc_v1,F150W,F115W,F115W-F150W,26.956733979201267,0.24533317483268277,,,,0.2490667129074289,0.040339935334706034,26.956733979201267,27.020449436431367,-0.0637154572300993,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,WARN,k03-k04 shift>0.15 mag,0.16547495941770052,0.01183890665610123,false,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4438__F150W__F115W__0dfeb66040f0_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4438__F150W__F115W__0dfeb66040f0_result.log,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_01_модель_чистая.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_03_остатки_общие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,,go7763_virgo_single_annulus_all,-0.8968708498699911
