priority,program,obsid,galaxy,status,reasons,qc_status,inner_outer_delta,model_residual,result_json,worker_log,clean_model_fits,clean_isophotes_fits,full_residual_fits,working_residual_fits,working_annuli_residual_fits,error
100,7763,o037_t037,NGC 4479,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4479__F150W__F115W__0f71e3086964_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o035_t035,NGC 4497,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4497__F150W__F115W__ccafc268a0d7_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o015_t015,NGC 4503,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4503__F150W__F115W__f36bed0b060c_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o003_t003,NGC 4548,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4548__F150W__F115W__cea29b2dba21_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o029_t029,NGC 4551,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4551__F150W__F115W__5dc8cc66a008_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o002_t002,NGC 4569,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4569__F150W__F115W__d66d4edaa17a_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o034_t034,NGC4486A,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC4486A__F150W__F115W__1ad0a1afd847_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
75,7763,o071_t071,PGC 040707,done,qc=WARN; Pr_over_P0=0.245; model_outlier=1.213mag,WARN,,1.2130752606440467,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/PGC_040707__F150W__F115W__ad9002a8b2e8_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/PGC_040707__F150W__F115W__ad9002a8b2e8_result.log,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/PGC_040707/F150W__F115W/ad9002a8b2e8/jw07763-o071_t071_nircam_clear-f150w_i2d_01_модель_чистая.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/PGC_040707/F150W__F115W/ad9002a8b2e8/jw07763-o071_t071_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/PGC_040707/F150W__F115W/ad9002a8b2e8/jw07763-o071_t071_nircam_clear-f150w_i2d_03_остатки_общие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/PGC_040707/F150W__F115W/ad9002a8b2e8/jw07763-o071_t071_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/PGC_040707/F150W__F115W/ad9002a8b2e8/jw07763-o071_t071_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,
45,7763,o048_t048,IC 0794,done,qc=LEGACY; abs_inner_outer_delta=0.210mag; legacy_two_annulus_result,LEGACY,0.2099975258643596,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_0794__F150W__F115W__a6f2e2c80416_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_0794__F150W__F115W__a54ad3737b23_result.log,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_01_модель_чистая.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_03_остатки_общие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,
45,7763,o006_t006,NGC 4438,done,qc=WARN; k_stability=0.165mag,WARN,-0.0637154572300993,-0.8968708498699911,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4438__F150W__F115W__0dfeb66040f0_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4438__F150W__F115W__0dfeb66040f0_result.log,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_01_модель_чистая.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_03_остатки_общие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,
