run_id,job_id,program,obsid,target,state,queue_position,attempt_count,started_at,ended_at,last_error
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-4211913ef367c80d671491e406541f9c8267da6522c945521133c8825da3d494,7763,o060_t060,IC 3486,SUCCEEDED,18,1,1784601311.581318,1784605243.042206,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-3b1dadec3ba5f24c3945e660325ab0375b543971513c0ad7c3d2344a88f5fb47,7763,o065_t065,IC 3492,RETRY_WAIT,19,1,1784605243.203469,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-aa6279a8fd555b349ecda07c2cbefae245e8088f1706f1d18cf0449f32a8bcac,7763,o053_t053,IC 3501,SUCCEEDED,20,0,,1784566161.931843,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9c7ea4870be79ecf8824e7deee8f444b18fe972719547e395fad11920c011b1a,7763,o067_t067,IC 3509,SUCCEEDED,21,0,,1784566162.42029,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-846fd66231e8dbf50ba46888bffcba2295d525db07788d6f8c33d6f3df2626e3,7763,o052_t052,IC 3586,SUCCEEDED,22,0,,1784566162.901713,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-57f11bc9dcdbf20a8f65605ab283f6540c885a42a7745f1480dfd054660ab176,7763,o050_t050,IC 3631,SUCCEEDED,23,0,,1784566163.394473,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-ef76bdd3999e8959cad3388723d8b43c642fed4f4e86118982f15a640193a650,7763,o069_t069,IC 3635,RETRY_WAIT,24,1,1784605333.4035661,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-7aa06d4a180bf85419ce68e2f8e2c44b712b0faa3dcf7017ae25292be7cff3fc,7763,o025_t025,NGC 4294,RETRY_WAIT,25,1,1784605513.621155,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c2d5edf2eac881979abd5c66d5288cfe2fa4bb3ee7f0ce3a964963b318d1e1cd,7763,o032_t032,NGC 4299,RETRY_WAIT,26,1,1784605693.8551722,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-cb9553577f70ecbaaf49fb85f910ef7003ffd6d45a90c1acc36fd026d1607960,7763,o038_t038,NGC 4306,SUCCEEDED,27,1,1784605994.140144,1784610286.032685,
