galaxy,sigma,lower_MJy_sr,upper_MJy_sr,below_percent,above_percent,total_percent
NGC 3379,3.0,-3.3301688730716705,2.81803497672081,1.5053633705063458,3.130576670056478,4.635940040562824
NGC 3379,3.5,-4.203014150261879,3.707736000418663,0.8301589763919771,1.7221963677312973,2.5523553441232743
NGC 3379,4.0,-5.077862396836281,4.591052398085594,0.48758697163475073,1.017115672992399,1.5047026446271496
NGC 1380,3.0,-1.719784252345562,1.5703538730740547,1.2246537384436353,2.299732367824598,3.524386106268233
NGC 1380,3.5,-2.1382150277495384,1.99579606205225,0.7174723855542505,1.214890979512067,1.9323633650663177
NGC 1380,4.0,-2.544442944228649,2.4053694680333138,0.48852966221456734,0.7132237775006975,1.201753439715265
NGC 4486,3.0,-2.7575865909457207,2.518124707043171,1.0645738255576271,1.6525582744754777,2.717132100033105
NGC 4486,3.5,-3.419561378657818,3.1845250204205513,0.4259252474703417,0.7998331219302405,1.2257583694005822
NGC 4486,4.0,-4.048743240535259,3.816489227116108,0.17258809864949565,0.4126568566389978,0.5852449552884935
