galaxy,visual_score,ring,noise_tile_mode,mbar_adopted_3p5,mbar_raw,delta_mbar_3p5_minus_raw,winsor_mbar_span,changed_fraction_3p5,P0_fractional_span,delta_aicc_Nk_minus_constant,Nk_physical_solution_fraction,classic_residual_rms_sigma,Nk_residual_rms_sigma,delta_mbar_257_minus_129
NGC 3379,10.0,inner,nominal_0.80,26.933680725482326,26.809380512011725,0.12430021347060105,0.2657817711244057,0.04314302813057187,0.2361171564249237,17027.353797075168,0.2,5.2351971541303115,27.128722603747388,-0.01544684362420412
NGC 3379,10.0,outer,nominal_0.80,27.101681845377694,27.09618614828411,0.005495697093582663,0.023075329491994978,0.001847928307700189,0.020953563554361135,31478.319345415417,0.0,5.262423195576736,36.60377268310759,-0.01554982789316739
NGC 1380,7.0,inner,nominal_0.80,28.09400782472342,28.02983784203205,0.06416998269136798,0.15075270633990812,0.022739325721088804,0.13525783809961675,16335.143355189464,0.4,5.281279839128291,26.518993231595644,-0.015446914706412684
NGC 1380,7.0,outer,nominal_0.80,28.139850181977703,28.133784728921366,0.006065453056336878,0.021618563172982164,0.0019839592589919897,0.019759749489376952,46926.20710291804,0.6,8.158459454338928,44.813664815066915,-0.015467671288188711
NGC 4486,3.0,inner,relaxed_0.55,27.92048449580392,27.781251869873664,0.13923262593025498,0.29972057921552775,0.05964022810231804,0.2646005186504022,226.07580175649662,0.0,5.964373416426393,6.705125854584439,-0.015543342806047633
NGC 4486,3.0,outer,relaxed_0.55,27.8518017519161,27.847568763380096,0.00423298853600329,0.02345695035384665,0.0022269897049419754,0.02142177790425552,-226.7621972038719,0.0,11.594436586754222,11.180887497910883,-0.015509677587321136
