galaxy,ring,brightness_left_MJy_sr,brightness_right_MJy_sr,brightness_center_MJy_sr,pixel_count,zone
NGC 3379,inner,-7.028282061219215,-6.952941583593686,-6.990611822406451,2,orange
NGC 3379,inner,-6.952941583593686,-6.877601105968157,-6.915271344780922,7,orange
NGC 3379,inner,-6.877601105968157,-6.802260628342628,-6.839930867155393,4,orange
NGC 3379,inner,-6.802260628342628,-6.7269201507171,-6.7645903895298645,9,orange
NGC 3379,inner,-6.7269201507171,-6.651579673091571,-6.689249911904335,8,orange
NGC 3379,inner,-6.651579673091571,-6.576239195466042,-6.613909434278806,9,orange
NGC 3379,inner,-6.576239195466042,-6.500898717840513,-6.538568956653277,5,orange
NGC 3379,inner,-6.500898717840513,-6.425558240214984,-6.463228479027748,13,orange
NGC 3379,inner,-6.425558240214984,-6.3502177625894545,-6.387888001402219,14,orange
NGC 3379,inner,-6.3502177625894545,-6.274877284963925,-6.31254752377669,9,orange
NGC 3379,inner,-6.274877284963925,-6.199536807338397,-6.237207046151161,13,orange
NGC 3379,inner,-6.199536807338397,-6.124196329712868,-6.161866568525633,24,orange
NGC 3379,inner,-6.124196329712868,-6.048855852087339,-6.0865260909001035,28,orange
NGC 3379,inner,-6.048855852087339,-5.97351537446181,-6.0111856132745745,29,orange
NGC 3379,inner,-5.97351537446181,-5.898174896836281,-5.935845135649045,29,orange
NGC 3379,inner,-5.898174896836281,-5.822834419210752,-5.860504658023516,29,orange
NGC 3379,inner,-5.822834419210752,-5.747493941585223,-5.785164180397987,41,orange
NGC 3379,inner,-5.747493941585223,-5.6721534639596936,-5.709823702772458,47,orange
NGC 3379,inner,-5.6721534639596936,-5.596812986334165,-5.63448322514693,55,orange
NGC 3379,inner,-5.596812986334165,-5.521472508708636,-5.559142747521401,63,orange
NGC 3379,inner,-5.521472508708636,-5.446132031083107,-5.483802269895872,74,orange
NGC 3379,inner,-5.446132031083107,-5.370791553457578,-5.408461792270343,85,orange
NGC 3379,inner,-5.370791553457578,-5.295451075832049,-5.3331213146448135,81,orange
NGC 3379,inner,-5.295451075832049,-5.220110598206521,-5.2577808370192844,99,orange
NGC 3379,inner,-5.220110598206521,-5.144770120580992,-5.182440359393756,129,orange
NGC 3379,inner,-5.144770120580992,-5.077862396836281,-5.111316258708636,99,orange
NGC 3379,inner,-5.077862396836281,-5.069429642955463,-5.073646019895872,13,yellow
NGC 3379,inner,-5.069429642955463,-4.9940891653299335,-5.031759404142698,124,yellow
NGC 3379,inner,-4.9940891653299335,-4.918748687704404,-4.956418926517169,137,yellow
NGC 3379,inner,-4.918748687704404,-4.843408210078875,-4.88107844889164,182,yellow
NGC 3379,inner,-4.843408210078875,-4.768067732453346,-4.805737971266111,189,yellow
NGC 3379,inner,-4.768067732453346,-4.692727254827817,-4.730397493640582,258,yellow
NGC 3379,inner,-4.692727254827817,-4.617386777202288,-4.655057016015053,252,yellow
NGC 3379,inner,-4.617386777202288,-4.542046299576759,-4.5797165383895235,279,yellow
NGC 3379,inner,-4.542046299576759,-4.466705821951231,-4.504376060763995,314,yellow
NGC 3379,inner,-4.466705821951231,-4.391365344325702,-4.429035583138466,358,yellow
NGC 3379,inner,-4.391365344325702,-4.316024866700173,-4.353695105512937,401,yellow
NGC 3379,inner,-4.316024866700173,-4.2406843890746435,-4.278354627887408,492,yellow
NGC 3379,inner,-4.2406843890746435,-4.203014150261879,-4.221849269668262,250,yellow
NGC 3379,inner,-4.203014150261879,-4.165343911449115,-4.184179030855497,287,red
NGC 3379,inner,-4.165343911449115,-4.090003433823586,-4.127673672636351,595,red
NGC 3379,inner,-4.090003433823586,-4.014662956198057,-4.052333195010822,615,red
NGC 3379,inner,-4.014662956198057,-3.939322478572528,-3.9769927173852926,681,red
NGC 3379,inner,-3.939322478572528,-3.863982000946999,-3.9016522397597635,708,red
NGC 3379,inner,-3.863982000946999,-3.78864152332147,-3.8263117621342344,806,red
NGC 3379,inner,-3.78864152332147,-3.7133010456959408,-3.7509712845087053,1008,red
NGC 3379,inner,-3.7133010456959408,-3.637960568070412,-3.6756308068831762,1057,red
NGC 3379,inner,-3.637960568070412,-3.562620090444883,-3.6002903292576476,1181,red
NGC 3379,inner,-3.562620090444883,-3.487279612819354,-3.5249498516321185,1291,red
NGC 3379,inner,-3.487279612819354,-3.4119391351938253,-3.44960937400659,1357,red
NGC 3379,inner,-3.4119391351938253,-3.336598657568296,-3.3742688963810608,1557,red
NGC 3379,inner,-3.336598657568296,-3.3301688730716705,-3.3333837653199834,150,red
NGC 3379,inner,-3.3301688730716705,-3.261258179942767,-3.295713526507219,1607,blue
NGC 3379,inner,-3.261258179942767,-3.185917702317238,-3.2235879411300026,1835,blue
NGC 3379,inner,-3.185917702317238,-3.1105772246917094,-3.1482474635044735,2058,blue
NGC 3379,inner,-3.1105772246917094,-3.0352367470661803,-3.072906985878945,2238,blue
NGC 3379,inner,-3.0352367470661803,-2.9598962694406517,-2.997566508253416,2485,blue
NGC 3379,inner,-2.9598962694406517,-2.8845557918151226,-2.922226030627887,2716,blue
NGC 3379,inner,-2.8845557918151226,-2.8092153141895935,-2.846885553002358,2867,blue
NGC 3379,inner,-2.8092153141895935,-2.7338748365640644,-2.771545075376829,3172,blue
NGC 3379,inner,-2.7338748365640644,-2.6585343589385353,-2.6962045977513,3454,blue
NGC 3379,inner,-2.6585343589385353,-2.583193881313006,-2.6208641201257707,3809,blue
NGC 3379,inner,-2.583193881313006,-2.507853403687477,-2.5455236425002417,4064,blue
NGC 3379,inner,-2.507853403687477,-2.432512926061949,-2.470183164874713,4560,blue
NGC 3379,inner,-2.432512926061949,-2.35717244843642,-2.3948426872491844,4882,blue
NGC 3379,inner,-2.35717244843642,-2.2818319708108907,-2.3195022096236553,5085,blue
NGC 3379,inner,-2.2818319708108907,-2.2064914931853616,-2.244161731998126,5485,blue
NGC 3379,inner,-2.2064914931853616,-2.1311510155598326,-2.168821254372597,5790,blue
NGC 3379,inner,-2.1311510155598326,-2.0558105379343035,-2.093480776747068,6234,blue
NGC 3379,inner,-2.0558105379343035,-1.9804700603087744,-2.018140299121539,6671,blue
NGC 3379,inner,-1.9804700603087744,-1.9051295826832462,-1.9427998214960103,6855,blue
NGC 3379,inner,-1.9051295826832462,-1.829789105057717,-1.8674593438704816,7279,blue
NGC 3379,inner,-1.829789105057717,-1.754448627432188,-1.7921188662449525,7663,blue
NGC 3379,inner,-1.754448627432188,-1.679108149806659,-1.7167783886194234,7964,blue
NGC 3379,inner,-1.679108149806659,-1.6037676721811298,-1.6414379109938944,8384,blue
NGC 3379,inner,-1.6037676721811298,-1.5284271945556007,-1.5660974333683653,8685,blue
NGC 3379,inner,-1.5284271945556007,-1.4530867169300716,-1.4907569557428362,9023,blue
NGC 3379,inner,-1.4530867169300716,-1.3777462393045434,-1.4154164781173075,9448,blue
NGC 3379,inner,-1.3777462393045434,-1.3024057616790143,-1.3400760004917789,9699,blue
NGC 3379,inner,-1.3024057616790143,-1.2270652840534853,-1.2647355228662498,9889,blue
NGC 3379,inner,-1.2270652840534853,-1.1517248064279562,-1.1893950452407207,10131,blue
NGC 3379,inner,-1.1517248064279562,-1.076384328802427,-1.1140545676151916,10371,blue
NGC 3379,inner,-1.076384328802427,-1.001043851176898,-1.0387140899896625,10809,blue
NGC 3379,inner,-1.001043851176898,-0.9257033735513689,-0.9633736123641334,10962,blue
NGC 3379,inner,-0.9257033735513689,-0.8503628959258407,-0.8880331347386048,10815,blue
NGC 3379,inner,-0.8503628959258407,-0.7750224183003116,-0.8126926571130761,10941,blue
NGC 3379,inner,-0.7750224183003116,-0.6996819406747825,-0.737352179487547,11065,blue
NGC 3379,inner,-0.6996819406747825,-0.6243414630492534,-0.662011701862018,11143,blue
NGC 3379,inner,-0.6243414630492534,-0.5490009854237243,-0.5866712242364889,11214,blue
NGC 3379,inner,-0.5490009854237243,-0.47366050779819524,-0.5113307466109598,11209,blue
NGC 3379,inner,-0.47366050779819524,-0.39832003017266615,-0.4359902689854307,11209,blue
NGC 3379,inner,-0.39832003017266615,-0.32297955254713795,-0.36064979135990205,11116,blue
NGC 3379,inner,-0.32297955254713795,-0.24763907492160886,-0.2853093137343734,11120,blue
