galaxy,psf_id,fitted_power_ratio,delta_mbar_mag,constant_offset
NGC 4472,stpsf_field_768_1024,0.9997807249102612,0.00023810100949529225,-0.0002854452917436536
NGC 4472,stpsf_field_1024_1280,0.9965936860458611,0.0037046716102972915,0.0031897277103416456
NGC 4472,stpsf_field_1024_768,1.0006559529554795,-0.000711958392296122,-0.0017887715625143528
NGC 4486,stpsf_O2024062601-NRCA3_FP1-1,1.0000000000000002,-2.4108186663832173e-16,-1.3214179177028548e-16
NGC 4486,stpsf_field_1280_1024,1.0001897529646229,-0.00020600211951284333,3.900794110580702e-05
NGC 4486,stpsf_field_768_1024,0.999742471677433,0.00027964383321095855,-0.0003729068113550337
NGC 4486,stpsf_field_1024_1280,0.9966451334823689,0.003648623791116033,0.0031953363530218687
NGC 4486,stpsf_field_1024_768,1.000763979390991,-0.0008291633929301001,-0.0019134533300822966
NGC 4552,stpsf_O2024062601-NRCA3_FP1-1,1.0000000000000002,-2.4108186663832173e-16,-1.3214179177028548e-16
NGC 4552,stpsf_field_1280_1024,1.0001897529646229,-0.00020600211951284333,3.900794110580702e-05
NGC 4552,stpsf_field_768_1024,0.999742471677433,0.00027964383321095855,-0.0003729068113550337
NGC 4552,stpsf_field_1024_1280,0.9966451334823689,0.003648623791116033,0.0031953363530218687
NGC 4552,stpsf_field_1024_768,1.000763979390991,-0.0008291633929301001,-0.0019134533300822966
NGC 4621,stpsf_R2024052602-NRCA3_FP1-1,1.0000000000000002,-2.4108186663832173e-16,-6.598684090301284e-17
NGC 4621,stpsf_field_1280_1024,0.9996451287192183,0.00038536497910035983,0.00038638629030558476
NGC 4621,stpsf_field_768_1024,0.9998500635267863,0.0001628036627904036,-0.00044137104047658213
NGC 4621,stpsf_field_1024_1280,0.9962848470080907,0.004041187581414127,0.0033484216464946814
NGC 4621,stpsf_field_1024_768,1.000595387848371,-0.0006462417796828401,-0.001788637224339787
NGC 4636,stpsf_R2024051402-NRCA3_FP1-1,1.0000000000000004,-4.821637332766435e-16,-1.3198343689421584e-16
NGC 4636,stpsf_field_1280_1024,0.9998404392251121,0.00017325473285235852,0.00022195727178982042
NGC 4636,stpsf_field_768_1024,0.9999124659672592,9.504302830558596e-05,-0.0005475895403327925
NGC 4636,stpsf_field_1024_1280,0.996296520370318,0.004028466201791624,0.0034070549918101445
NGC 4636,stpsf_field_1024_768,1.0007823047638753,-0.0008490445427832958,-0.0019964168612803717
NGC 4649,stpsf_O2024062601-NRCA3_FP1-1,1.0000000000000002,-2.4108186663832173e-16,-1.3214179177028548e-16
NGC 4649,stpsf_field_1280_1024,1.0001897529646229,-0.00020600211951284333,3.900794110580702e-05
NGC 4649,stpsf_field_768_1024,0.999742471677433,0.00027964383321095855,-0.0003729068113550337
NGC 4649,stpsf_field_1024_1280,0.9966451334823689,0.003648623791116033,0.0031953363530218687
NGC 4649,stpsf_field_1024_768,1.000763979390991,-0.0008291633929301001,-0.0019134533300822966
NGC 4697,stpsf_O2024062601-NRCA3_FP1-1,1.0000000000000002,-2.4108186663832173e-16,-1.3214179177028548e-16
NGC 4697,stpsf_field_1280_1024,1.0001897529646229,-0.00020600211951284333,3.900794110580702e-05
NGC 4697,stpsf_field_768_1024,0.999742471677433,0.00027964383321095855,-0.0003729068113550337
NGC 4697,stpsf_field_1024_1280,0.9966451334823689,0.003648623791116033,0.0031953363530218687
NGC 4697,stpsf_field_1024_768,1.000763979390991,-0.0008291633929301001,-0.0019134533300822966
