galaxy,psf_id,fitted_power_ratio,delta_mbar_mag,constant_offset
NGC 1380,stpsf_R2023111002-NRCA3_FP1-1,0.9999999999999999,1.205409333191609e-16,-6.593224475642777e-17
NGC 1380,stpsf_field_1280_1024,1.0001543670839146,-0.00016758899704938395,0.000168826843353292
NGC 1380,stpsf_field_768_1024,0.9998464230820863,0.0001667568253215288,-0.0005987384824721852
NGC 1380,stpsf_field_1024_1280,0.9967333554789479,0.003552519798487616,0.0032096001553565817
NGC 1380,stpsf_field_1024_768,1.0006336509826625,-0.0006877599361823862,-0.0019881400463927106
NGC 1399,stpsf_R2023101202-NRCA3_FP1-1,0.9999999999999997,3.6162279995748275e-16,0.0
NGC 1399,stpsf_field_1280_1024,0.9996229714525271,0.0004094307326068822,-0.0005140932928881007
NGC 1399,stpsf_field_768_1024,1.0009035316404067,-0.0009805540999845545,-0.0014066718773895087
NGC 1399,stpsf_field_1024_1280,0.9960439915709381,0.004303699938249611,0.00293887506693405
NGC 1399,stpsf_field_1024_768,1.0013217456737764,-0.0014341195694805872,-0.002450696187817278
NGC 1404,stpsf_R2023111002-NRCA3_FP1-1,0.9999999999999999,1.205409333191609e-16,-6.593224475642777e-17
NGC 1404,stpsf_field_1280_1024,1.0001543670839146,-0.00016758899704938395,0.000168826843353292
NGC 1404,stpsf_field_768_1024,0.9998464230820863,0.0001667568253215288,-0.0005987384824721852
NGC 1404,stpsf_field_1024_1280,0.9967333554789479,0.003552519798487616,0.0032096001553565817
NGC 1404,stpsf_field_1024_768,1.0006336509826625,-0.0006877599361823862,-0.0019881400463927106
NGC 1549,stpsf_R2024082402-NRCA3_FP1-1,0.9999999999999999,1.205409333191609e-16,0.0
NGC 1549,stpsf_field_1280_1024,1.000523050254554,-0.0005677461313382246,-7.728360312766424e-05
NGC 1549,stpsf_field_768_1024,0.9990418824713346,0.001040761554885312,5.1527421008827637e-05
NGC 1549,stpsf_field_1024_1280,0.9974757523813347,0.0027441319225310567,0.002858223067077635
NGC 1549,stpsf_field_1024_768,0.9999838181334296,1.7569380549090687e-05,-0.0014416515700175342
NGC 3379,stpsf_R2024052602-NRCA3_FP1-1,1.0000000000000002,-2.4108186663832173e-16,-6.598684090301284e-17
NGC 3379,stpsf_field_1280_1024,0.9996451287192183,0.00038536497910035983,0.00038638629030558476
NGC 3379,stpsf_field_768_1024,0.9998500635267863,0.0001628036627904036,-0.00044137104047658213
NGC 3379,stpsf_field_1024_1280,0.9962848470080907,0.004041187581414127,0.0033484216464946814
NGC 3379,stpsf_field_1024_768,1.000595387848371,-0.0006462417796828401,-0.001788637224339787
NGC 4374,stpsf_R2024051402-NRCA3_FP1-1,1.0000000000000004,-4.821637332766435e-16,-1.3198343689421584e-16
NGC 4374,stpsf_field_1280_1024,0.9998404392251121,0.00017325473285235852,0.00022195727178982042
NGC 4374,stpsf_field_768_1024,0.9999124659672592,9.504302830558596e-05,-0.0005475895403327925
NGC 4374,stpsf_field_1024_1280,0.996296520370318,0.004028466201791624,0.0034070549918101445
NGC 4374,stpsf_field_1024_768,1.0007823047638753,-0.0008490445427832958,-0.0019964168612803717
NGC 4406,stpsf_R2024052602-NRCA3_FP1-1,1.0000000000000002,-2.4108186663832173e-16,-6.598684090301284e-17
NGC 4406,stpsf_field_1280_1024,0.9996451287192183,0.00038536497910035983,0.00038638629030558476
NGC 4406,stpsf_field_768_1024,0.9998500635267863,0.0001628036627904036,-0.00044137104047658213
NGC 4406,stpsf_field_1024_1280,0.9962848470080907,0.004041187581414127,0.0033484216464946814
NGC 4406,stpsf_field_1024_768,1.000595387848371,-0.0006462417796828401,-0.001788637224339787
NGC 4472,stpsf_O2024061001-NRCA3_FP1-1,1.0,-0.0,0.0
NGC 4472,stpsf_field_1280_1024,1.0000381680061188,-4.143959527825386e-05,7.833557988336928e-05
