galaxy,environment,visual_score,residual_structure_score,annulus_delta_mag,mu_lit,mu_cluster,delta_mu_cluster_minus_paper4,Mbar_F150W_cluster,Mbar_F110W_observed,residual_F150_linear,fluctuation_color_F110W_minus_F150W
NGC 4472,Virgo,4.0,1.61160683484606,0.02947242585007,31.016,31.055,0.03900000000000148,-3.3422389470979965,-2.625,-0.1163204071950461,0.7172389470979965
NGC 1380,Fornax,7.0,0.39810459556925276,0.0991681246154776,31.408,31.424,0.015999999999998238,-3.336776861349435,-2.823999999999998,-0.07353689449793643,0.5127768613494368
NGC 4636,Virgo,6.0,0.9696590684067558,0.1099118180140799,31.07,31.055,-0.015000000000000568,-3.1644986569002,-2.6950000000000003,0.06796355863063486,0.46949865690019976
NGC 4649,Virgo,5.0,1.40048752289978,0.0427985370240442,31.009,31.055,0.045999999999999375,-3.182402440503001,-2.535,0.04395698702009376,0.6474024405030008
NGC 4552,Virgo,9.0,0.2049885678023868,0.1747140902322073,30.923,31.055,0.13200000000000145,-3.2045889412012407,-2.745000000000001,0.03920677987695731,0.4595889412012397
NGC 4697,Virgo,6.0,0.40430718876483823,0.1734218130673781,30.324,30.33,0.005999999999996675,-3.2351206719114742,-2.8099999999999987,0.027506467762770104,0.4251206719114755
NGC 1399,Fornax,9.5,0.05022057850723777,0.0470147040159822,31.498,31.424,-0.07400000000000162,-3.2666888284266022,-2.5839999999999996,-0.02278751093987319,0.6826888284266026
NGC 1404,Fornax,8.0,0.12018679613143911,0.1098815120130503,31.366,31.424,0.05799999999999983,-3.24700072481264,-2.693999999999999,0.00025309164881370805,0.553000724812641
