model,n,n_parameters,sigma_int_mag,aicc,loo_rmse_mag,coefficients
Постоянная абсолютная величина,14,2,0.08052230135250979,-23.754044241165655,0.092469065729084,a=-3.2078
Квадратичная зависимость от ln(C/C₀),14,4,0.06885759924551656,-19.946428276807204,0.09310505984352319,a=-3.1723; b=0.29098; c=-7.4819
Квадратичная зависимость,14,4,0.06920496494756184,-19.81756415062769,0.09430622670798394,a=-3.1737; b=0.64199; c=-22.644
Логарифмическая зависимость,14,3,0.07962482845865473,-20.655514011134898,0.09792385951885942,a=-3.2092; b=0.14984
Линейная зависимость,14,3,0.07983625718575912,-20.600301756015366,0.09809307697389456,a=-3.2093; b=0.2243
Кубический полином,14,5,0.06826232640941239,-15.145503211680406,0.10214106391356256,a=-3.1693; b=0.023776; c=-27.328; d=188.61
Линейная модель с экспоненциальной кривизной,14,4,0.07258201967557996,-18.71944905606975,0.11210985792541031,a=-3.1859; b=0.9049; c=-0.04326
