galaxy,environment,color_F090W_F150W,sigma_color_adopted_mag,mbar_F090W_0,sigma_mbar_internal,Mbar_F090W,sigma_Mbar_F090W,annulus_difference_mag,paper_iv_high_quality
NGC 1380,Fornax,0.5109197810360542,0.0034620446708328,29.327883162928455,0.020373467757884,-2.0801168370715466,0.0316826237650094,0.0386620181897683,True
NGC 1399,Fornax,0.5689520662696456,0.0031873456276589,29.61612052023655,0.0229111776452494,-1.8818794797634515,0.0342076315962283,-0.0787972130264655,False
NGC 1404,Fornax,0.565099597655533,0.0031486956262243,29.4135479658307,0.0156034768246149,-1.9524520341693012,0.0289560168332489,-0.0058278336108514,True
NGC 1549,Other,0.5394679349949408,0.0031874471021974,29.213732123454523,0.0266410280716963,-2.0172678765454783,0.0368101124020018,0.0445542848190889,False
NGC 3379,Other,0.569709072851749,0.003983444215417,28.156394769205768,0.0168254809839135,-1.9216052307942313,0.0319226690887829,0.1555154492511832,True
NGC 4374,Virgo,0.5657297737055597,0.0053437466902636,29.163484071723328,0.0231943948870604,-1.9485159282766704,0.0343586134537002,0.0294229368692207,True
NGC 4406,Virgo,0.614501944876377,0.0043833747006002,29.13003541815165,0.0238552986001202,-1.9659645818483504,0.0337030819873272,0.0400776167392713,True
NGC 4472,Virgo,0.6263943457557023,0.0037973552728496,29.128471326099348,0.0161940028124592,-1.8875286739006505,0.0307828420882061,0.0176519793694289,False
NGC 4486,Virgo,0.6523563356690387,0.0038581041581107,29.19928217029713,0.057100331896105,-1.846717829702868,0.061970779337869,-0.0557545732669453,False
NGC 4552,Virgo,0.5737428250070734,0.0054215457867817,29.02505995695703,0.0193306238515125,-1.8979400430429685,0.0326905649973851,0.0884643630591952,True
NGC 4621,Virgo,0.5707855879635484,0.0045953379584685,28.805952292482456,0.0191824028714913,-2.015047707517546,0.0313053823601342,0.074628160819163,True
NGC 4636,Virgo,0.6032548204488803,0.0043143837459863,29.09672066117343,0.0235245734226518,-1.973279338826572,0.0342497525682863,0.0406422025504085,True
NGC 4649,Virgo,0.6222966494683755,0.0041126797093252,29.25422996551698,0.0133895289174917,-1.7547700344830195,0.0274420323120564,-0.0450986704060589,False
NGC 4697,Virgo,0.5170743453353589,0.0043835811917054,28.19760677614977,0.0157572336837073,-2.1263932238502328,0.0312107814305659,0.0568167875566132,True
