sample,color,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,ols_slope_stderr
GO-3055 F150W: все,F090W−F150W,14,0.08908078580159826,0.7620146216884915,0.02417582417582418,0.9346189946036425,0.18433334873103951,0.5949757017113008
GO-3055 F150W: общие с Jensen,F090W−F150W,8,0.2547604928422168,0.5425900159601749,0.38095238095238104,0.35181255311756476,0.5394453553111566,0.8359265239235981
Paper III F110W: 14 calibrators,Pan-STARRS g−z,14,0.9735045816889699,4.7176978153167116e-09,0.9604395604395607,5.081053892329076e-08,1.8843207943012468,0.12777052453927043
