scenario,intercept,slope,sigma_int_mag,aicc,loo_bias_mag,loo_rmse_mag
No horizontal errors,-3.2093277753255607,0.22429641859253585,0.07983619840173237,-20.60030175602685,-0.0054794910747375525,0.09809327070211356
Photometry + reddening (primary),-3.209350316106608,0.2244193337611191,0.07978282606066492,-20.60023997859537,-0.005458955894792997,0.09810401074215695
Primary + 0.01 mag floor,-3.209350318650105,0.22441963129660436,0.07975125652002464,-20.60023997859533,-0.005458950417708053,0.09810403399134554
Half-ring difference proxy,-3.209395539233578,0.23444042013865807,0.07968490131553746,-20.607332017696997,-0.005783885844844049,0.0984654866504018
