sample,model,n,intercept,slope,curvature,slope_change,sigma_int,aicc,loo_bias_mag,loo_rmse_mag,loo_median_abs_mag,delta_aicc_within_sample
all_14,constant,14,-3.207794453358021,0.0,,,0.08052233783582698,-23.754044241171968,-0.0009846351246396118,0.09246896885177683,0.07877307513120257,0.0
all_14,linear,14,-3.209350316106608,0.2244193337611191,,,0.07978282606066492,-20.60023997859537,-0.005458955894792997,0.09810401074215695,0.07832481473741737,3.1538042625765996
all_14,quadratic,14,-3.1742728095178934,0.6368758853359783,-22.354992114367246,,0.06908122516963675,-19.766784177360513,0.0029454718124468015,0.09448987413993201,0.08476112307448957,3.987260063811455
all_14,broken,14,-3.1585318172907146,2.245021099156811,,-3.351799702090473,0.0675456523384409,-20.320837280265003,-9.910244644219444e-05,0.09217870957901046,0.06825913214950674,3.433206960906965
visual_clean_11,constant,11,-3.2038418198373733,0.0,,,0.08386437783307688,-16.448407467235235,-0.0002206165317595321,0.0982116850553963,0.07777237482331145,0.0
visual_clean_11,linear,11,-3.1980281742408163,0.792422407340935,,,0.07969696032851255,-13.41959931696868,-0.007376662957850625,0.10293281798331567,0.09017037774894021,3.0288081502665545
visual_clean_11,quadratic,11,-3.166059536274309,0.3208416880600097,-33.80410790288218,,0.0683800448656767,-10.87547540221858,-0.0011994653391796041,0.09445973175519867,0.04738789477640637,5.572932065016655
visual_clean_11,broken,11,-3.156530832942875,2.2873646643375625,,-3.7537587956033853,0.06829180438686128,-10.893317499845825,-0.0021349874462912185,0.09599312945375495,0.058309090171501765,5.55508996738941
automatic_clean_10,constant,10,-3.206274328422102,0.0,,,0.0880930501583898,-13.366158201201953,-0.0002449110672579025,0.10364040621812191,0.09340547454310233,0.0
automatic_clean_10,linear,10,-3.1963052215581804,0.8502709835318547,,,0.0840245612957821,-9.842047988686712,-0.011952063400744705,0.1160087923441882,0.10240848519623036,3.5241102125152413
automatic_clean_10,quadratic,10,-3.1682073476754833,0.16505822978523804,-35.525007549675344,,0.07210422931129937,-6.359840580948667,-0.0044348759859655475,0.09938399595799091,0.07608762752474973,7.006317620253286
automatic_clean_10,broken,10,-3.1576852755161156,2.259183407021196,,-4.1875776333698225,0.07130522022780567,-6.518934000643053,0.1593609644203827,0.5166254831011808,0.08354755583565243,6.8472242005589
paper_iv_high_quality_9,constant,9,-3.178182701148448,0.0,,,0.07142733001042226,-14.537237210537526,7.146333576733987e-05,0.08686486889826671,0.057172967824964616,0.0
paper_iv_high_quality_9,linear,9,-3.1746101829135243,0.6759673476828292,,,0.06751019614336876,-10.529598336700989,-0.014029161157440326,0.10369966480800741,0.04824796182897373,4.007638873836537
paper_iv_high_quality_9,quadratic,9,-3.1242245056101416,0.037279165643667046,-47.9299438005204,,0.028146690778581354,-13.377399515303246,-0.0020345049805953076,0.06041908102951058,0.06374254981815497,1.1598376952342804
paper_iv_high_quality_9,broken,9,-3.109329733379886,2.995659416975906,,-5.461258104159551,0.028088418224201373,-12.873719493266787,-0.0035432169206145326,0.06496835046236346,0.062119059381011255,1.6635177172707394
