galaxy,NGC 1380,NGC 1399,NGC 1404,NGC 4472,NGC 4649
NGC 1380,0.036010366107979225,0.012406280206675323,0.012416010742281769,0.012396162877312236,0.012360477508106095
NGC 1399,0.012406280206675323,0.0358500525426748,0.012929945569516352,0.013224346003436327,0.013474993476814478
NGC 1404,0.012416010742281769,0.012929945569516352,0.037380335262922545,0.013059035704211122,0.013260774442230136
NGC 4472,0.012396162877312236,0.013224346003436327,0.013059035704211122,0.03721057017125669,0.013748909565117415
NGC 4649,0.012360477508106095,0.013474993476814478,0.013260774442230136,0.013748909565117415,0.037743338687321944
