diagnostic,n,pearson_r_signed,pearson_p_signed,spearman_rho_absolute,spearman_p_absolute
residual_structure_score,8,-0.18084805186287067,0.6682308834519322,-0.261904761904762,0.530922861565801
abs_annulus_delta_mag,8,0.7817841687705133,0.021911595376068467,0.19047619047619052,0.6514014957024814
visual_score,8,0.14042423653466196,0.740145356630826,0.43114545428877316,0.2861957348053604
winsor_changed_percent,8,0.5686054344440606,0.14137233021100346,0.023809523809523815,0.9553740118158807
psf_position_span_mag,8,-0.3899776031001564,0.3395455342257323,0.39282289291218914,0.33571997408128507
noise_log_slope_0p04_0p25,8,-0.00456506320821215,0.991440625402626,-0.04761904761904763,0.9108491685195836
minimum_usable_fraction,8,-0.45903660248262984,0.2525704440975201,0.14285714285714288,0.735764859879812
maximum_annular_psf_scatter_mag,8,-0.21301561294616206,0.612513407794703,0.09523809523809526,0.8225054302036114
