galaxy,mbar_F150W,sigma_mbar_internal,Mbar_F150W,sigma_Mbar_internal,mu_lit,sigma_mu_lit,m160_ab,sigma_m160_ab,g475_z850,sigma_g475_z850,mu_sbf_loo,sigma_mu_sbf_internal,sigma_mu_sbf_absolute,Mbar_F160W_individual,sigma_Mbar_F160W_individual,m150_minus_m160,sigma_m150_minus_m160,Mbar_F160W_calibrated,sigma_Mbar_F160W_calibrated,mu_F160W_jensen2015,sigma_mu_F160W_internal,sigma_mu_F160W_jensen2015,delta_mu_F150W_minus_F160W,sigma_delta_mu,gls_mean_weight
NGC 1380,28.087223138650565,0.014890871141345845,-3.3207768613494366,0.02867808990093351,31.408,0.025,27.8,0.05,1.391,0.007,31.285935616275534,0.08142058742898581,0.09401229737263696,-3.6080000000000005,0.05590169943749475,0.2872231386505639,0.05217027931062059,-3.7181699999999998,0.11835629683291042,31.51817,0.12848429086857271,0.1628134300357314,-0.23223438372446736,0.1897639747369854,0.22402658354677474
NGC 1399,28.157311171573397,0.022105432564654845,-3.340688828426604,0.03382378501252526,31.498,0.026,28.03,0.04,1.49,0.005,31.354916461063077,0.0813772943675029,0.09397480533938456,-3.468,0.04770744176750625,0.1273111715733961,0.04570175214223742,-3.5073,0.12034912754149904,31.537300000000002,0.12682236592967347,0.16150514697680693,-0.18238353893692505,0.18934110103903695,0.20580040846332204
NGC 1404,28.17699927518736,0.013786403257487864,-3.18900072481264,0.028195042575958718,31.366,0.025,27.94,0.06,1.471,0.006,31.386355179783358,0.08843376231168927,0.10014754273870305,-3.4259999999999984,0.065,0.2369992751873582,0.061563503106776434,-3.5477699999999994,0.11962782828422491,31.48777,0.13383130164501877,0.16706530848742956,-0.10141482021664316,0.19333994740591648,0.1957292020854008
NGC 4472,27.712761052902003,0.023250456491890257,-3.303238947097995,0.03521846876075463,31.016,0.027,27.59,0.05,1.514,0.006,30.91338836018879,0.08596383865920375,0.09797337167325422,-3.4259999999999984,0.05682429058070149,0.12276105290200334,0.05514148825595191,-3.45618,0.1220276067125796,31.04618,0.1318739428393646,0.16550147068832954,-0.13279163981120945,0.19290041516610762,0.19107432694536072
NGC 4649,27.872597559497,0.016981276537939773,-3.1364024405030015,0.02964898927417641,31.009,0.025,27.63,0.05,1.554,0.006,31.086037619115707,0.08704318798496731,0.0989217699729759,-3.3790000000000013,0.05590169943749475,0.2425975594969998,0.05280495954792489,-3.3709799999999994,0.1251887566836575,31.00098,0.1348043945871202,0.16784583640948622,0.08505761911570886,0.19427644913195719,0.1833694789591419
