galaxy,k,relative_power
NGC 1549,0.265,0.21311832774419193
NGC 1549,0.275,0.20304783785758473
NGC 1549,0.28500000000000003,0.17032091769776853
NGC 1549,0.29500000000000004,0.17419444407747006
NGC 1549,0.305,0.14852936050641277
NGC 1549,0.315,0.13714396744742152
NGC 1549,0.325,0.12743244213161609
NGC 1549,0.335,0.12101359462373315
NGC 1549,0.34500000000000003,0.11377855888343485
NGC 1549,0.35500000000000004,0.10066829015159928
NGC 1549,0.365,0.08624402615928506
NGC 1549,0.375,0.08726153274640978
NGC 1549,0.385,0.07568131928101197
NGC 1549,0.395,0.0714022940502865
NGC 1549,0.405,0.07148558894236136
NGC 1549,0.41500000000000004,0.06571352844181177
NGC 1549,0.42500000000000004,0.06386864657772678
NGC 1549,0.435,0.0620292459134663
NGC 1549,0.445,0.057878777228983526
NGC 3379,0.015,5.530516579967066
NGC 3379,0.025,5.780263845495429
NGC 3379,0.035,5.102652221921973
NGC 3379,0.045,4.365635271119221
NGC 3379,0.05500000000000001,3.3343126433369346
NGC 3379,0.065,3.055786835730113
NGC 3379,0.075,2.5514517709426188
NGC 3379,0.08499999999999999,2.404408230687786
NGC 3379,0.095,1.80978029256573
NGC 3379,0.105,1.8352950220379298
NGC 3379,0.11499999999999999,1.5460870193074336
NGC 3379,0.125,1.3668381555183606
NGC 3379,0.135,1.2651785039137384
NGC 3379,0.14500000000000002,1.0
NGC 3379,0.15500000000000003,0.8511593466738203
NGC 3379,0.165,0.68811212751304
NGC 3379,0.17500000000000002,0.6523029807095772
NGC 3379,0.185,0.5898463239645007
NGC 3379,0.195,0.5068958318233396
NGC 3379,0.20500000000000002,0.4840389860136758
NGC 3379,0.21500000000000002,0.4321219416936574
NGC 3379,0.225,0.37878914881745906
NGC 3379,0.23500000000000001,0.3212896935826973
NGC 3379,0.245,0.3001670449404393
NGC 3379,0.255,0.27671429093500344
NGC 3379,0.265,0.23255423518374635
NGC 3379,0.275,0.24431133344620495
NGC 3379,0.28500000000000003,0.22457259767083668
NGC 3379,0.29500000000000004,0.21384324191539006
NGC 3379,0.305,0.1837232193614065
NGC 3379,0.315,0.16522293374136154
NGC 3379,0.325,0.16348892689373462
