quantity,standard_deviation,p16,p50,p84
intercept,0.023570383510592915,-3.2319930742049903,-3.2079416007377466,-3.1844413698070215
sigma_int,0.012281679314538538,0.0642703279087142,0.07664501620183173,0.08822315981138146
