dataset,model,n,median_color_mag,intercept_mag,slope,sigma_int_mag,aicc,loo_bias_mag,loo_rmse_mag
Our F150W / F090W-F150W,constant,8,0.5694881460196426,-3.22064270578462,0.0,0.0830255579720397,-9.65119988779056,-0.0007835373763107611,0.10140663590684514
Our F150W / F090W-F150W,linear,8,0.5694881460196426,-3.221619699951825,0.5651682663270307,0.07911602780909933,-4.64171370168615,-0.00576250978392201,0.11033173365359665
Paper III F110W / g-z,constant,8,1.3405,-2.693453403665151,0.0,0.06573287205369288,-7.966663312142034,0.0043731507884710585,0.11143959368658497
Paper III F110W / g-z,linear,8,1.3405,-2.684948394548334,1.885106148585849,4.286995329870224e-05,-11.94323023573848,-0.007645745920229707,0.0464717614578212
