galaxy,stamp_size_pix,enclosed_flux_before_renormalization,missing_flux_percent,fitted_power_ratio,delta_mbar_mag,constant_offset
NGC 1380,33,0.9461410880180041,5.385891198199588,0.8982028983065548,0.11656386974161902,-0.0008819279321927272
NGC 1380,65,0.9815859705235963,1.8414029476403693,0.9633312833337239,0.040560840386503386,5.2013582131241525e-05
NGC 1380,97,0.9946411930432982,0.5358806956701767,0.9892511956783372,0.01173354035716124,1.622965711026094e-05
NGC 1380,129,1.0,0.0,0.9999999999999999,1.205409333191609e-16,-6.593224475642777e-17
NGC 1399,33,0.9421697230887303,5.783027691126974,0.8914344648465135,0.12477644782757158,-0.0009164490052915441
NGC 1399,65,0.980362579100011,1.9637420899988989,0.960885735193407,0.04332063469295283,5.460808865536746e-05
NGC 1399,97,0.9941955320587352,0.5804467941264768,0.9883462291499993,0.012727225907273028,1.769332709678826e-05
NGC 1399,129,1.0000000000000002,-2.220446049250313e-14,0.9999999999999997,3.6162279995748275e-16,0.0
NGC 1404,33,0.9461410880180041,5.385891198199588,0.8982028983065548,0.11656386974161902,-0.0008819279321927272
NGC 1404,65,0.9815859705235963,1.8414029476403693,0.9633312833337239,0.040560840386503386,5.2013582131241525e-05
NGC 1404,97,0.9946411930432982,0.5358806956701767,0.9892511956783372,0.01173354035716124,1.622965711026094e-05
NGC 1404,129,1.0,0.0,0.9999999999999999,1.205409333191609e-16,-6.593224475642777e-17
NGC 1549,33,0.9465738187080002,5.342618129199983,0.8990310877761326,0.11556322612800946,-0.0008709152539446578
NGC 1549,65,0.9817318780507098,1.8268121949290173,0.9636182789050661,0.040237426125100985,5.107792675836743e-05
NGC 1549,97,0.9946755327675945,0.5324467232405539,0.9893193288623996,0.011658764488630185,1.6035105063721396e-05
NGC 1549,129,0.9999999999999998,2.220446049250313e-14,1.0000000000000007,-7.232455999149651e-16,0.0
NGC 3379,33,0.946380875458681,5.3619124541319,0.8986373796705942,0.1160388011952313,-0.0008738471972761067
NGC 3379,65,0.981696951872011,1.8303048127988997,0.9635538254770202,0.0403100500700172,5.056037536888363e-05
NGC 3379,97,0.9946604847155853,0.5339515284414675,0.9892901027872494,0.011690839346263325,1.604896452698037e-05
NGC 3379,129,1.0000000000000002,-2.220446049250313e-14,0.9999999999999997,3.6162279995748275e-16,6.598684090301285e-17
NGC 4374,33,0.9464133316889274,5.358666831107262,0.8987014794329027,0.11596135844443146,-0.0008743336421901754
NGC 4374,65,0.981714497057919,1.8285502942080978,0.9635876896186364,0.04027189249382307,5.071285327490253e-05
NGC 4374,97,0.9947090542076408,0.5290945792359225,0.9893873578973015,0.01158410806108479,1.5871858637903323e-05
NGC 4374,129,0.9999999999999999,1.1102230246251565e-14,1.0000000000000009,-9.643274665532867e-16,-1.3198343689421584e-16
NGC 4406,33,0.946380875458681,5.3619124541319,0.8986373796705942,0.1160388011952313,-0.0008738471972761067
NGC 4406,65,0.981696951872011,1.8303048127988997,0.9635538254770202,0.0403100500700172,5.056037536888363e-05
NGC 4406,97,0.9946604847155853,0.5339515284414675,0.9892901027872494,0.011690839346263325,1.604896452698037e-05
NGC 4406,129,1.0000000000000002,-2.220446049250313e-14,0.9999999999999997,3.6162279995748275e-16,6.598684090301285e-17
NGC 4472,33,0.94641321328198,5.358678671801997,0.8987090158516182,0.11595225360980943,-0.0008733277425876103
NGC 4472,65,0.9816510326266068,1.83489673733932,0.9634633842418514,0.04041196438920712,5.042459258013179e-05
NGC 4472,97,0.9946473191435058,0.5352680856494207,0.9892630039948096,0.011720580413064195,1.6222295665472748e-05
NGC 4472,129,1.0,0.0,1.0,-0.0,0.0
NGC 4486,33,0.9463530164676641,5.364698353233588,0.8985942009828373,0.11609097106035646,-0.0008693534293717524
NGC 4486,65,0.9816206623817119,1.8379337618288139,0.9634028906549207,0.04048013733754674,5.046538659506546e-05
NGC 4486,97,0.9946333264785037,0.5366673521496335,0.9892357898868291,0.01175044885918892,1.5986698528802044e-05
NGC 4486,129,1.0,0.0,1.0000000000000002,-2.4108186663832173e-16,-1.3214179177028548e-16
NGC 4552,33,0.9463530164676641,5.364698353233588,0.8985942009828373,0.11609097106035646,-0.0008693534293717524
NGC 4552,65,0.9816206623817119,1.8379337618288139,0.9634028906549207,0.04048013733754674,5.046538659506546e-05
NGC 4552,97,0.9946333264785037,0.5366673521496335,0.9892357898868291,0.01175044885918892,1.5986698528802044e-05
NGC 4552,129,1.0,0.0,1.0000000000000002,-2.4108186663832173e-16,-1.3214179177028548e-16
NGC 4621,33,0.946380875458681,5.3619124541319,0.8986373796705942,0.1160388011952313,-0.0008738471972761067
NGC 4621,65,0.981696951872011,1.8303048127988997,0.9635538254770202,0.0403100500700172,5.056037536888363e-05
NGC 4621,97,0.9946604847155853,0.5339515284414675,0.9892901027872494,0.011690839346263325,1.604896452698037e-05
NGC 4621,129,1.0000000000000002,-2.220446049250313e-14,0.9999999999999997,3.6162279995748275e-16,6.598684090301285e-17
NGC 4636,33,0.9464133316889274,5.358666831107262,0.8987014794329027,0.11596135844443146,-0.0008743336421901754
NGC 4636,65,0.981714497057919,1.8285502942080978,0.9635876896186364,0.04027189249382307,5.071285327490253e-05
NGC 4636,97,0.9947090542076408,0.5290945792359225,0.9893873578973015,0.01158410806108479,1.5871858637903323e-05
NGC 4636,129,0.9999999999999999,1.1102230246251565e-14,1.0000000000000009,-9.643274665532867e-16,-1.3198343689421584e-16
NGC 4649,33,0.9463530164676641,5.364698353233588,0.8985942009828373,0.11609097106035646,-0.0008693534293717524
NGC 4649,65,0.9816206623817119,1.8379337618288139,0.9634028906549207,0.04048013733754674,5.046538659506546e-05
NGC 4649,97,0.9946333264785037,0.5366673521496335,0.9892357898868291,0.01175044885918892,1.5986698528802044e-05
NGC 4649,129,1.0,0.0,1.0000000000000002,-2.4108186663832173e-16,-1.3214179177028548e-16
NGC 4697,33,0.9463530164676641,5.364698353233588,0.8985942009828373,0.11609097106035646,-0.0008693534293717524
NGC 4697,65,0.9816206623817119,1.8379337618288139,0.9634028906549207,0.04048013733754674,5.046538659506546e-05
NGC 4697,97,0.9946333264785037,0.5366673521496335,0.9892357898868291,0.01175044885918892,1.5986698528802044e-05
NGC 4697,129,1.0,0.0,1.0000000000000002,-2.4108186663832173e-16,-1.3214179177028548e-16
