distance_anchor,model,n,intercept,slope,sigma_int_mag,aicc,shared_cluster_mean_errors,anchor_sources,loo_rmse_vs_anchor_mag,loo_rmse_vs_individual_thin_mag
Paper IV thin (primary),constant,14,-3.2077925330145676,0.0,0.08052189604157117,-23.754182525998644,False,Paper IV individual thin,0.09246850763554107,0.09246850763554107
Paper IV thin (primary),linear,14,-3.2094130312196194,0.23154756884594602,0.07974273606944322,-20.609981602165686,False,Paper IV individual thin,0.09805703370565513,0.09805703370565513
Paper IV thick (sensitivity),constant,14,-3.2020033900435205,0.0,0.08111190032392765,-23.507705814226874,False,Paper IV individual thick,0.09320724912046235,0.09270140749682863
Paper IV thick (sensitivity),linear,14,-3.2043137846467475,0.32907249240634356,0.07964071795342785,-20.52711338548997,False,Paper IV individual thick,0.09932186705809269,0.09915121888887302
Paper III cluster means,constant,14,-3.2299831318262817,0.0,0.0692812570366735,-22.445794637370295,True,Paper III Fornax mean + individual depth; Paper III Virgo mean + individual depth; Paper IV individual thin,0.09258446903811306,0.09478382537529499
Paper III cluster means,linear,14,-3.228644560624842,0.33722796647591113,0.06785958458658552,-19.40902472333328,True,Paper III Fornax mean + individual depth; Paper III Virgo mean + individual depth; Paper IV individual thin,0.09631845171564155,0.09696264623866542
