method,sample,n,bias_mpc,rmse_mpc,median_abs_mpc,median_abs_fraction_percent
Jensen 2015 F160W,5 общих с Jensen,5,0.5212336222304479,0.6851722666445833,0.36406100356391136,1.82630859045749
SBF F150W: Без зависимости от цвета,5 общих с Jensen,5,-0.4604228752235279,0.8501028348135535,0.7369402688835329,4.615643827135019
SBF F150W: Прямая,5 общих с Jensen,5,-0.5129426938216305,0.9042938568067286,0.9262448481566494,5.801306423771385
SBF F150W: Парабола,5 общих с Jensen,5,-0.5061279070483728,0.935371394791295,0.6610280746733856,4.153554419219821
SBF F150W: Ломаная при C0,5 общих с Jensen,5,-0.49371751203747005,1.005354648285914,0.7354930479438675,4.606579515305802
SBF F150W: Без зависимости от цвета,все 14,14,-0.059172740442807105,0.6868436400704359,0.5630064685127083,3.694268883552236
SBF F150W: Ломаная при C0,все 14,14,-0.06742330594037048,0.7014778219840214,0.4991713225641625,3.0936736738409665
SBF F150W: Парабола,все 14,14,-0.04257407879518763,0.7122689159954926,0.6242488266217423,3.9758246138093423
SBF F150W: Прямая,все 14,14,-0.09458982387442878,0.7263120609511505,0.5588434204009607,3.6730737459527028
