galaxy,environment,method,method_label,band,mu_mag,sigma_mu_internal_mag,sigma_mu_common_mag,sigma_mu_total_mag,distance_mpc,sigma_distance_internal_mpc,sigma_distance_common_mpc,sigma_distance_total_mpc,uncertainty_convention
NGC 1380,Fornax,trgb_paper4,TRGB Paper IV,TRGB,31.408,0.025,0.047,0.05323532661682466,19.124936418442093,0.22018396750781852,0.41394585891469876,0.46886261704268106,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 1380,Fornax,jensen_paper3_f110w,Jensen Paper III,F110W,31.391620000000003,0.0677464449251767,0.063,0.09251259806102086,18.98121463045902,0.5921833526136369,0.5506938593731945,0.8086685661407093,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 1380,Fornax,jensen2015_f160w,Jensen et al. (2015),F160W,31.51817,0.1284842908685727,0.1,0.16281343003573137,20.120279064095165,1.1905008676596314,0.9265730927973144,1.5085854341714677,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 1380,Fornax,this_work_f150w,This work,F150W,31.285935616275538,0.0814205874289858,0.04699999999999992,0.0940122973726369,18.07952945870539,0.6779021932382625,0.3913187571876397,0.7827399014513859,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1380,Fornax,this_work_f090w,This work,F090W,31.39855130389145,0.0716782674606146,0.047,0.085713324670995,19.041899152999353,0.6285552302968456,0.41214857544072725,0.7516303119029605,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1399,Fornax,trgb_paper4,TRGB Paper IV,TRGB,31.498,0.026,0.047,0.05371219600798314,19.934254564980947,0.2386816504866229,0.43146298357197216,0.49308136901716976,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 1399,Fornax,jensen_paper3_f110w,Jensen Paper III,F110W,31.48282,0.06876618936657752,0.063,0.09326193650144736,19.795387153498012,0.6268803304230829,0.5743150984580986,0.850186321336852,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 1399,Fornax,jensen2015_f160w,Jensen et al. (2015),F160W,31.5373,0.1268223659296734,0.1,0.16150514697680685,20.298315568544858,1.1854999370512183,0.9347719768204071,1.5097048550618013,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 1399,Fornax,this_work_f150w,This work,F150W,31.354916461063077,0.0813772943675029,0.04699999999999988,0.0939748053393845,18.663078905320255,0.6994106207504216,0.4039492764015623,0.8076820131238752,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1399,Fornax,this_work_f090w,This work,F090W,31.58676097556534,0.0537532974166781,0.047,0.0714032000905131,20.76596870169677,0.5140471906877238,0.44946485375661427,0.682834657158229,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1404,Fornax,trgb_paper4,TRGB Paper IV,TRGB,31.366,0.025,0.047,0.05323532661682466,18.75858173799283,0.21596615337806316,0.4060163683507587,0.45988114853041767,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 1404,Fornax,jensen_paper3_f110w,Jensen Paper III,F110W,31.4435,0.06848490636629359,0.063,0.09305472798305307,19.440167385130174,0.6131130367031937,0.5640092592915033,0.8330750508459378,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 1404,Fornax,jensen2015_f160w,Jensen et al. (2015),F160W,31.48777,0.1338313016450187,0.1,0.1670653084874295,19.840563382616548,1.2228055080182154,0.9136917096283277,1.5264618733146342,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 1404,Fornax,this_work_f150w,This work,F150W,31.38635517978336,0.0884337623116892,0.04700000000000003,0.100147542738703,18.93524967388172,0.7711428253171221,0.4098402221332842,0.8732870460028209,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1404,Fornax,this_work_f090w,This work,F090W,31.386744500329588,0.0564290735693781,0.047,0.0734386842467803,18.938644855234624,0.49215001726797525,0.40991370845661323,0.6405004979525952,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1549,Other,trgb_paper4,TRGB Paper IV,TRGB,31.231,0.026,0.047,0.05371219600798314,17.627876532324,0.2110663657672378,0.3815430458100068,0.4360322311070208,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 1549,Other,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 1549,Other,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 1549,Other,this_work_f150w,This work,F150W,31.13018210827642,0.0845404827660952,0.046999999999999854,0.0967269002207991,16.82815182698917,0.6551591782977058,0.3642335644709772,0.7495996520776664,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1549,Other,this_work_f090w,This work,F090W,31.233802126037546,0.062656217681269,0.047,0.0783249743959267,17.65063869866414,0.5092960222153124,0.38203571696405797,0.6366582499901988,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 3379,Other,trgb_paper4,TRGB Paper IV,TRGB,30.078,0.028,0.047,0.05470831746635972,10.365732567670046,0.1336606952143677,0.22435902410983147,0.26115541952007054,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 3379,Other,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 3379,Other,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 3379,Other,this_work_f150w,This work,F150W,30.23036561147313,0.0778367905123868,0.046999999999999945,0.0909261566177147,11.119189256511076,0.39856919251368195,0.24066706662528606,0.46559428495099503,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 3379,Other,this_work_f090w,This work,F090W,30.122521583538735,0.0555753346713042,0.047,0.0727847362008509,10.58045432478496,0.27078966672450794,0.22900652621032977,0.3546421191168535,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4374,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.112,0.027,0.047,0.05420332093147061,16.687835113653897,0.20749586598202713,0.3611965074501954,0.41655425984360117,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4374,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4374,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4374,Virgo,this_work_f150w,This work,F150W,31.1576854731462,0.0885238607732306,0.046999999999999896,0.1002271117322968,17.042648803960784,0.6947733083401136,0.3688762013626485,0.7866254521140311,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
