galaxy,environment,annulus,color_F090W_F150W_observed,color_F090W_F150W,color_scatter,color_sem_proxy,mbar_F150W_observed,mbar_F150W,sigma_mbar,mu_lit,sigma_mu_lit,Mbar_F150W,sigma_Mbar,sigma_E_BV,cov_color_Mbar_extinction,color_table,sigma_mbar_internal,sigma_mbar_total,sigma_color_stat_mag,sigma_Mbar_internal,sigma_Mbar_total,sigma_color_total_mag,sigma_color_total
NGC 4374,Virgo,inner,0.5954523552763722,0.5672936239963496,0.0369755448149958,4.65287116417356e-05,27.90905244004775,27.88821117132777,0.022331269539060995,31.112,0.027,-3.2237888286722267,0.03420196900370642,0.006568725684874859,-2.8554684504301596e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4374/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292660/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.022331269539060995,0.022678797574603577,0.005343860909989016,0.03420196900370642,0.03420196900370642,0.005343860909989016,0.005343860909989016
NGC 4374,Virgo,outer,0.5926029606643864,0.5644442293843639,0.058247769602081,4.0160409458254535e-05,28.00292077543871,27.982079506718733,0.02212282436044394,31.112,0.027,-3.129920493281265,0.03406623610244245,0.006568725684874859,-2.8554684504301596e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4374/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292660/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.02212282436044394,0.0224735759924117,0.005343809255838896,0.03406623610244245,0.03406623610244245,0.005343809255838896,0.005343809255838896
NGC 4406,Virgo,inner,0.6233962620960599,0.6027082146250229,0.0421259974698498,5.256272298972762e-05,27.80868974251616,27.793377789987197,0.021308781893603624,31.096,0.025,-3.302622210012803,0.03225057128194124,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4406/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293351/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.021308781893603624,0.02155432531181685,0.0043835516493194926,0.03225057128194124,0.03225057128194124,0.0043835516493194926,0.0043835516493194926
NGC 4406,Virgo,outer,0.6463357069624711,0.6256476594914341,0.0643096741774301,4.472063611201622e-05,27.90521629572775,27.889904343198786,0.022976803722422872,31.096,0.025,-3.2060956568012138,0.033376169215791514,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4406/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293351/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.022976803722422872,0.02320470347057261,0.004383464629456683,0.033376169215791514,0.033376169215791514,0.004383464629456683,0.004383464629456683
NGC 4472,Virgo,inner,0.6362560101816694,0.6207399745783917,0.0318562702189173,3.967904673207103e-05,27.716044425956287,27.704560461559566,0.026620485295420014,31.016,0.027,-3.311439538440432,0.037528749674544726,0.004667810837820647,-1.4419214770968088e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4472/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785290733/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.026620485295420014,0.02676843449384631,0.003797471421580109,0.037528749674544726,0.037528749674544726,0.003797471421580109,0.003797471421580109
NGC 4472,Virgo,outer,0.6497486702552877,0.63423263465201,0.0491075661941137,3.3083946494715755e-05,27.745516851806357,27.734032887409636,0.04378529402850558,31.016,0.027,-3.281967112590362,0.05115573074381457,0.004667810837820647,-1.4419214770968088e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4472/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785290733/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.04378529402850558,0.043875401092757595,0.0037974082370063602,0.05115573074381457,0.05115573074381457,0.0037974082370063602,0.0037974082370063602
NGC 4486,Virgo,inner,0.6689538703790844,0.6528631667905,0.0328290720979063,4.105748375552073e-05,27.794811716391894,27.782902419980477,0.03599028029060929,31.046,0.025,-3.2630975800195223,0.043475442179747935,0.004742476114729151,-1.488419732798564e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4486/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292329/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.03599028029060929,0.036103377138360364,0.003858222783220012,0.043475442179747935,0.043475442179747935,0.003858222783220012,0.003858222783220012
NGC 4486,Virgo,outer,0.6676742359545006,0.6515835323659163,0.0497715184130382,3.4698335862695415e-05,27.84831662926388,27.836407332852463,0.07281498200228666,31.046,0.025,-3.209592667147536,0.0767908549328715,0.004742476114729151,-1.488419732798564e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4486/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292329/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.07281498200228666,0.0728709487339872,0.003858160352097523,0.0767908549328715,0.0767908549328715,0.003858160352097523,0.003858160352097523
NGC 4552,Virgo,inner,0.6121021281350576,0.5833687288697285,0.0455397075426731,5.701048202357779e-05,27.748392201237344,27.727125600502674,0.021813251409057852,30.923,0.028,-3.195874399497324,0.034644041192414286,0.006664298623945043,-2.9391653106933186e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4552/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291005/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.021813251409057852,0.022179240040116923,0.005421706677974542,0.034644041192414286,0.034644041192414286,0.005421706677974542,0.005421706677974542
NGC 4552,Virgo,outer,0.5926607927783987,0.5639273935130695,0.0726597578366722,5.124845689839045e-05,27.92310629146955,27.90183969073488,0.016641001689347963,30.923,0.028,-3.0211603092651167,0.03164355527325928,0.006664298623945043,-2.9391653106933186e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4552/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291005/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.016641001689347963,0.0171179347161754,0.00542164915051386,0.03164355527325928,0.03164355527325928,0.00542164915051386,0.00542164915051386
NGC 4621,Virgo,inner,0.5979085446558099,0.5754964932288531,0.052113099696228,6.59218644146843e-05,27.574564511742295,27.55797656316925,0.024549123249141703,30.821,0.026,-3.26302343683075,0.035154470781019735,0.005648558243085114,-2.1114963592020803e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4621/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293681/jw03055-o009_t009_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.024549123249141703,0.024783587963386054,0.00459557496775199,0.035154470781019735,0.035154470781019735,0.00459557496775199,0.00459557496775199
NGC 4621,Virgo,outer,0.5846943479176083,0.5622822964906515,0.0778067008594579,5.52129481365366e-05,27.747772453147952,27.73118450457491,0.015096006345147442,30.821,0.026,-3.0898154954250927,0.029343939257788013,0.005648558243085114,-2.1114963592020803e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4621/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293681/jw03055-o009_t009_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.015096006345147442,0.015474371961733251,0.004595433827361975,0.029343939257788013,0.029343939257788013,0.004595433827361975,0.004595433827361975
NGC 4636,Virgo,inner,0.6181250962187183,0.5980117167329878,0.04601717368947,5.7417760223906466e-05,27.836191700529852,27.821305080015584,0.02540016197684789,31.07,0.026,-3.248694919984416,0.035824862043873175,0.005303284650783685,-1.8612512012435444e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4636/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291336/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.02540016197684789,0.025600081350628297,0.004314604131507846,0.035824862043873175,0.035824862043873175,0.004314604131507846,0.004314604131507846
NGC 4636,Virgo,outer,0.62830307025376,0.6081896907680295,0.067983217885007,4.902719338458053e-05,27.946103518543932,27.931216898029664,0.023376641189393556,31.07,0.026,-3.1387831019703363,0.03441975980901213,0.005303284650783685,-1.8612512012435444e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4636/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291336/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.023376641189393556,0.02359371293387984,0.004314500629056231,0.03441975980901213,0.03441975980901213,0.004314500629056231,0.004314500629056231
NGC 4649,Virgo,inner,0.6397918139304976,0.6214024384006869,0.0311133218449662,3.875245402160626e-05,27.864352923234858,27.85074229876467,0.023105344778403696,31.009,0.025,-3.158257701235332,0.03353439681060554,0.005055399609952361,-1.691321212224404e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4649/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291667/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.023105344778403696,0.023304978380547365,0.004112750159557074,0.03353439681060554,0.03353439681060554,0.004112750159557074,0.004112750159557074
NGC 4649,Virgo,outer,0.6431977381347327,0.624808362604922,0.0518060342356728,3.5255597516155126e-05,27.9071514602589,27.89354083578871,0.023804846617726073,31.009,0.025,-3.115459164211291,0.03402013425334633,0.005055399609952361,-1.691321212224404e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4649/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291667/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.023804846617726073,0.023998662097757396,0.004112718696847654,0.03402013425334633,0.03402013425334633,0.004112718696847654,0.004112718696847654
NGC 4697,Virgo,inner,0.5427905056390534,0.5221024581680164,0.0620648572061873,7.883128470240568e-05,26.980739701449913,26.96542774892095,0.02540130993790613,30.324,0.028,-3.358572251079053,0.037286213387577614,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4697/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291998/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.02540130993790613,0.025607641445865876,0.004383945322862887,0.037286213387577614,0.037286213387577614,0.004383945322862887,0.004383945322862887
NGC 4697,Virgo,outer,0.5290938889617044,0.5084058414906674,0.084597946388305,6.1030585594685085e-05,27.15416151451729,27.138849561988327,0.01950177069467577,30.324,0.028,-3.185150438011675,0.033546299683424374,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_4697/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291998/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.01950177069467577,0.019769770208228864,0.00438366136406333,0.033546299683424374,0.033546299683424374,0.00438366136406333,0.00438366136406333
