scenario,galaxy,mbar_observed,delta_mbar_from_adopted_mag
Pr=0,NGC 1380,28.09532868251797,-0.0008264284411581002
Pr=0,NGC 1399,28.1612376510521,-0.0024535007416979226
Pr=0,NGC 1404,28.17905368707688,-0.003900236316187744
Pr=0,NGC 1549,27.935630609976894,-0.000602408516989783
Pr=0,NGC 3379,27.019203003734436,-0.00514193992660239
Pr=0,NGC 4374,27.962849236343086,-0.004537552428590885
Pr=0,NGC 4406,27.86077958836917,-0.003775708164443614
Pr=0,NGC 4472,27.724052626088348,-0.00019239121037628593
Pr=0,NGC 4486,27.818263682869627,-0.0011489131440036715
Pr=0,NGC 4552,27.867652988426908,-0.004024671106520827
Pr=0,NGC 4621,27.70203687109413,-0.0023110730934448043
Pr=0,NGC 4636,27.904843308072635,-0.0005446555414323484
Pr=0,NGC 4649,27.88603936708022,-0.00016881688696912533
Pr=0,NGC 4697,27.1055208276221,-0.004670452995387819
adopted Pr,NGC 1380,28.096155110959124,-3.552713678800501e-15
adopted Pr,NGC 1399,28.163691151793802,3.552713678800501e-15
adopted Pr,NGC 1404,28.18295392339307,3.552713678800501e-15
adopted Pr,NGC 1549,27.936233018493876,-7.105427357601002e-15
adopted Pr,NGC 3379,27.02434494366104,0.0
adopted Pr,NGC 4374,27.967386788771677,0.0
adopted Pr,NGC 4406,27.864555296533613,0.0
adopted Pr,NGC 4472,27.72424501729872,-3.552713678800501e-15
adopted Pr,NGC 4486,27.81941259601364,7.105427357601002e-15
adopted Pr,NGC 4552,27.871677659533425,-3.552713678800501e-15
adopted Pr,NGC 4621,27.704347944187578,3.552713678800501e-15
adopted Pr,NGC 4636,27.905387963614064,-3.552713678800501e-15
adopted Pr,NGC 4649,27.88620818396719,3.552713678800501e-15
adopted Pr,NGC 4697,27.11019128061749,0.0
2Pr,NGC 1380,28.096982647787456,0.00082753682832859
2Pr,NGC 1399,28.166153493989196,0.0024623421953968716
2Pr,NGC 1404,28.186876920646885,0.003922997253816618
2Pr,NGC 1549,27.936835845959084,0.0006028274652010168
2Pr,NGC 3379,27.029521699141657,0.005176755480619022
2Pr,NGC 4374,27.971954987288697,0.004568198517020505
2Pr,NGC 4406,27.868353672386878,0.0037983758532647016
2Pr,NGC 4472,27.724437443185316,0.00019242588659196258
2Pr,NGC 4486,27.82056372933524,0.0011511333216098762
2Pr,NGC 4552,27.875723494925904,0.004045835392474828
2Pr,NGC 4621,27.706665585709032,0.0023176415214578583
2Pr,NGC 4636,27.905933020522774,0.0005450569087059876
2Pr,NGC 4649,27.886377039876535,0.00016885590934734296
2Pr,NGC 4697,27.11488843895788,0.004697158340391638
special GCLF widths,NGC 1380,28.096155110959124,-3.552713678800501e-15
special GCLF widths,NGC 1399,28.16415775719963,0.0004666054058297675
special GCLF widths,NGC 1404,28.18295392339307,3.552713678800501e-15
special GCLF widths,NGC 1549,27.936233018493876,-7.105427357601002e-15
special GCLF widths,NGC 3379,27.02434494366104,0.0
special GCLF widths,NGC 4374,27.967386788771677,0.0
special GCLF widths,NGC 4406,27.864555296533613,0.0
special GCLF widths,NGC 4472,27.72433183962364,8.682232491707964e-05
special GCLF widths,NGC 4486,27.81941259601364,7.105427357601002e-15
special GCLF widths,NGC 4552,27.871677659533425,-3.552713678800501e-15
special GCLF widths,NGC 4621,27.704347944187578,3.552713678800501e-15
special GCLF widths,NGC 4636,27.905387963614064,-3.552713678800501e-15
special GCLF widths,NGC 4649,27.88620818396719,3.552713678800501e-15
special GCLF widths,NGC 4697,27.11019128061749,0.0
