galaxy,mu_jensen_paper3_f110w,sigma_mu_jensen_paper3_f110w_internal,sigma_mu_jensen_paper3_f110w_common,sigma_mu_jensen_paper3_f110w_total,D_jensen_paper3_f110w_mpc,sigma_D_jensen_paper3_f110w_internal_mpc,sigma_D_jensen_paper3_f110w_common_mpc,sigma_D_jensen_paper3_f110w_total_mpc
NGC 1380,31.391620000000003,0.0677464449251767,0.063,0.09251259806102086,18.98121463045902,0.5921833526136369,0.5506938593731945,0.8086685661407093
NGC 1399,31.48282,0.06876618936657752,0.063,0.09326193650144736,19.795387153498012,0.6268803304230829,0.5743150984580986,0.850186321336852
NGC 1404,31.4435,0.06848490636629359,0.063,0.09305472798305307,19.440167385130174,0.6131130367031937,0.5640092592915033,0.8330750508459378
NGC 4472,31.03562,0.06866979539797684,0.063,0.09319088367431656,16.11105573266113,0.5094897342277089,0.46742316720651444,0.6914218730448081
NGC 4552,30.978859999999997,0.06877599872048387,0.063,0.09326916961139944,15.695385968742528,0.49711239275852015,0.45536351818122217,0.6741488446363172
NGC 4636,31.06048,0.06820474177064231,0.063,0.09284873073984372,16.296562253528798,0.5118659649462177,0.47280518853151327,0.6968152641645003
NGC 4649,31.04564,0.07093728215825582,0.063,0.09487411659667772,16.18557006100947,0.528747381398147,0.4695850195355484,0.7071660935788698
NGC 4697,30.33394,0.06817038946639516,0.063,0.09282349917989517,11.662401802297168,0.36612506311019466,0.33835627398480206,0.4985303701704866
