model,description,n_parameters,intercept_mag,intercept_sigma_bootstrap_mag,slope_at_center,slope_sigma_bootstrap,sigma_int_mag,aicc,loo_bias_mag,loo_rms_mag,loo_median_abs_mag,bootstrap_success,coefficient_0,coefficient_0_sigma_bootstrap,coefficient_1,coefficient_1_sigma_bootstrap,coefficient_2,coefficient_2_sigma_bootstrap,coefficient_3,coefficient_3_sigma_bootstrap,delta_aicc,loo_rms_mpc,median_reported_sigma_mpc
constant,Constant,2,-1.9491446770313907,0.0244152640361626,0.0,0.0,0.0863602187115367,-21.83865963271012,0.0013575975790851,0.0992032442369975,0.0688039294832574,400,-1.9491446770313907,0.0244152640361626,,,,,,,9.47371964252292,0.7186822999695689,0.8093932164289097
linear,Linear,3,-1.9616652046853336,0.0157259836065803,1.8890001894262043,0.4424008466935576,0.0488985350941807,-30.98389969819376,-0.0039002980375641,0.0684114419087861,0.0545915905356544,400,-1.9616652046853336,0.0157259836065803,1.8890001894262043,0.4424008466935576,,,,,0.3284795770392819,0.5063996095979055,0.5672415007024448
