galaxy,color_F090W_F150W,sigma_color_total,g_z_ps_0,sigma_g_z_ps_0
NGC 1380,0.5099985012165751,0.003462041730077411,1.283,0.012
NGC 1399,0.5693261701585407,0.003187341228287171,1.363,0.012
NGC 1404,0.5590412766507712,0.0031486735996211234,1.325,0.012
NGC 4472,0.6244942563585556,0.003797383266891397,1.383,0.012
NGC 4552,0.5696501218807444,0.0054215535127032245,1.349,0.013
NGC 4636,0.604419378636122,0.004314384904254271,1.332,0.013
NGC 4649,0.6231416885408567,0.004112650708966985,1.426,0.013
NGC 4697,0.5118785501902644,0.004383518805274066,1.271,0.013
