sample,model,galaxy,delta_mu_sbf_minus_trgb
automatic_clean_10,constant,NGC 4406,-0.04496871886883724
automatic_clean_10,constant,NGC 4552,0.14847561875780002
automatic_clean_10,constant,NGC 4621,0.08126116879796896
automatic_clean_10,constant,NGC 4697,-0.025326828894296938
automatic_clean_10,linear,NGC 1380,-0.1138050254247176
automatic_clean_10,linear,NGC 1399,-0.1656025219197126
automatic_clean_10,linear,NGC 1404,0.016173786779845045
automatic_clean_10,linear,NGC 1549,-0.08939588392415487
automatic_clean_10,linear,NGC 3379,0.15347244031071838
automatic_clean_10,linear,NGC 4374,0.03640325603699779
automatic_clean_10,linear,NGC 4406,-0.18978541508417024
automatic_clean_10,linear,NGC 4552,0.13846670901821412
automatic_clean_10,linear,NGC 4621,0.07271925063182394
automatic_clean_10,linear,NGC 4697,0.022347891580970725
automatic_clean_10,quadratic,NGC 1380,-0.04788313649084941
automatic_clean_10,quadratic,NGC 1399,-0.20599861205441172
automatic_clean_10,quadratic,NGC 1404,-0.01969135291569657
automatic_clean_10,quadratic,NGC 1549,-0.10085582452695263
automatic_clean_10,quadratic,NGC 3379,0.12628669756922406
automatic_clean_10,quadratic,NGC 4374,0.0036507275342820833
automatic_clean_10,quadratic,NGC 4406,-0.10524641908144972
automatic_clean_10,quadratic,NGC 4552,0.11342681363031204
automatic_clean_10,quadratic,NGC 4621,0.04244605508608146
automatic_clean_10,quadratic,NGC 4697,0.10036830398329499
automatic_clean_10,broken,NGC 1380,-0.05842339062914803
automatic_clean_10,broken,NGC 1399,-0.21956309499465831
automatic_clean_10,broken,NGC 1404,-0.013797206156777264
automatic_clean_10,broken,NGC 1549,-0.07762724155065825
automatic_clean_10,broken,NGC 3379,0.1305491649857231
automatic_clean_10,broken,NGC 4374,-0.003864256535642596
automatic_clean_10,broken,NGC 4406,1.6576357127844794
automatic_clean_10,broken,NGC 4552,0.10895577343231011
automatic_clean_10,broken,NGC 4621,0.035233590682981486
automatic_clean_10,broken,NGC 4697,0.0902857217817683
paper_iv_high_quality_9,constant,NGC 1380,-0.16077241929858843
paper_iv_high_quality_9,constant,NGC 1404,-0.012207242620750236
paper_iv_high_quality_9,constant,NGC 3379,0.12575114042669
paper_iv_high_quality_9,constant,NGC 4374,0.01428904295508815
paper_iv_high_quality_9,constant,NGC 4406,-0.07716146811700142
paper_iv_high_quality_9,constant,NGC 4552,0.1187621278688411
paper_iv_high_quality_9,constant,NGC 4621,0.05064608379113977
