annulus,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_intercept,ols_slope,ols_slope_stderr
inner,8,0.7430379125489258,0.034663021247330936,0.7142857142857144,0.04652823228416724,-1.7804284128444003,0.5647958826109875,0.20767913476251823
outer,8,0.31482101563893344,0.44755416711400753,0.3333333333333334,0.4197530864197531,-2.4027141159983656,0.2942038864761184,0.3621132365784339
