test,n,slope,delta_fornax_mag,sigma_int_mag,aicc,loo_rmse_mag,delta_aicc_vs_matching_common,bootstrap_delta_p16,bootstrap_delta_p50,bootstrap_delta_p84,bootstrap_slope_step_correlation,exact_permutation_p
Strict 10: общая прямая,10,0.12652469923489204,,0.07972451847118155,-10.721907224242383,0.10986784198926089,,,,,,
Strict 10: прямая + ступенька,10,-1.0504103834271605,-0.15747392958053785,0.057726450761730094,-10.129174421082666,0.09625540784505188,0.5927328031597163,-0.22040347255133502,-0.15630249451571732,-0.09739288051202112,0.467449457358131,0.15
Strict 10: ступенька + визуальный вес,10,-1.0566558929890288,-0.15942304074178637,0.05743403771237165,,0.09636185056564274,,,,,,
Broad 12: общая прямая,12,0.19305336203483092,,0.07201916920536193,-17.916503432901326,0.09301014156048139,,,,,,
Broad 12: прямая + ступенька,12,-0.3472793098585566,-0.11099763085918518,0.058250654117856786,-17.35466638068384,0.09267010497260487,0.5618370522174843,,,,,
