relation,subset,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,ols_slope_stderr
Direct SBF relation,All,14,0.4706003377199002,0.08945084582240798,0.5164835164835165,0.058637163441278464,0.09157722870913174,0.04956599171757309
Direct SBF relation,Fornax,3,0.07174147419453013,0.9542886902367095,0.5,0.6666666666666667,0.024070886250403364,0.334658049895208
Direct SBF relation,Virgo,9,0.2880988785594513,0.45218373986573734,0.3666666666666667,0.33173980143301496,0.0436348751187847,0.05481855572038378
Residual after color relation,All,14,0.5271942455361405,0.052720404886893064,0.5164835164835165,0.058637163441278464,0.10223670658718077,0.047570102035673426
Residual after color relation,Fornax,3,0.15710740035529583,0.8995662325250879,0.5,0.6666666666666667,0.0518332662120459,0.3258253645390623
Residual after color relation,Virgo,9,0.3739617913587233,0.32146153151412865,0.3666666666666667,0.33173980143301496,0.059548639939203646,0.05581916597819844
