galaxy,environment,D_trgb_paper4_mpc,sigma_D_trgb_paper4_total_mpc,D_jensen_paper3_f110w_mpc,sigma_D_jensen_paper3_f110w_total_mpc,D_jensen2015_f160w_mpc,sigma_D_jensen2015_f160w_total_mpc,D_sbf_f150w_mpc,sigma_D_sbf_f150w_total_mpc,D_sbf_f090w_mpc,sigma_D_sbf_f090w_total_mpc
NGC 1380,Fornax,19.124936418442093,0.46886261704268106,18.98121463045902,0.8086685661407093,20.120279064095165,1.5085854341714677,18.07952945870539,0.7827399014513859,19.041899152999353,0.7516303119029605
NGC 1399,Fornax,19.934254564980947,0.49308136901716976,19.795387153498012,0.850186321336852,20.298315568544858,1.5097048550618013,18.663078905320255,0.8076820131238752,20.76596870169677,0.682834657158229
NGC 1404,Fornax,18.75858173799283,0.45988114853041767,19.440167385130174,0.8330750508459378,19.840563382616548,1.5264618733146342,18.93524967388172,0.8732870460028209,18.938644855234624,0.6405004979525952
NGC 1549,Other,17.627876532324,0.4360322311070208,,,,,16.82815182698917,0.7495996520776664,17.65063869866414,0.6366582499901988
NGC 3379,Other,10.365732567670046,0.26115541952007054,,,,,11.119189256511076,0.46559428495099503,10.58045432478496,0.3546421191168535
NGC 4374,Virgo,16.687835113653897,0.41655425984360117,,,,,17.042648803960784,0.7866254521140311,16.869539202921107,0.585269638079888
NGC 4406,Virgo,16.565326493180184,0.40611179884861565,,,,,16.248194294759802,0.7491181246356723,15.795285164710982,0.5492133633250017
NGC 4472,Virgo,15.966142459934131,0.39853969131764344,16.11105573266113,0.6914218730448081,16.189595575972795,1.2339101643339159,15.2292204045384,0.6871181344275679,15.675382166189047,0.6040301611909611
NGC 4486,Virgo,16.18825362642106,0.39686756570418613,,,,,15.947578776443788,0.8086142100361237,15.8176709680194,0.7564449596344998
NGC 4552,Virgo,15.296779272301395,0.38538875878617496,15.695385968742528,0.6741488446363172,,,16.35836895571474,0.6937106260999719,15.73693932072992,0.52547627111565
NGC 4621,Virgo,14.59486223782621,0.36100946887106333,,,,,15.14613411675322,0.6810194995996951,14.204332389330736,0.4720918242748538
NGC 4636,Virgo,16.368165214278086,0.40487279250129155,16.296562253528798,0.6968152641645003,,,16.600089840433046,0.771450502152021,15.75437187660162,0.5468124274885872
NGC 4649,Virgo,15.914756566438562,0.39016257361996576,16.18557006100947,0.7071660935788698,15.856086267711438,1.2256098903775032,16.48950139716313,0.7511818510936611,16.933639974166514,0.5250775113419073
NGC 4697,Virgo,11.609138701261834,0.29248193198140654,11.662401802297168,0.4985303701704866,,,11.487293282400614,0.533418299413943,11.15627447049512,0.3856485299588331
