sample,model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance,use_shared_anchor_covariance,bootstrap_success,intercept_p16,intercept_p50,intercept_p84,slope_p16,slope_p50,slope_p84,sigma_int_p16,sigma_int_p50,sigma_int_p84
all_14,linear,14,3,0.567460681637547,-3.2094130312675344,0.23154759326103605,,,0.07974273628785593,14.50499080108283,-23.00998160216566,-20.60998160216566,True,sigma_color_stat_mag,True,False,2000,-3.2313353413389807,-3.2065367447808777,-3.1815566451913,-0.2976751145484026,0.24417693493079023,0.7217205347774889,0.05927165005680196,0.07332233648765918,0.08591871375859073
visual_clean_11,linear,11,3,0.567460681637547,-3.1979913979333663,0.8069284514535889,,,0.0795561657011227,11.44007783993152,-16.88015567986304,-13.451584251291612,True,sigma_color_stat_mag,True,False,2000,-3.222087555198753,-3.192336888284126,-3.161324446504786,0.08557938310318844,0.8083403995020555,1.645130770130007,0.052925778144692306,0.07122589318090372,0.08702785249366185
automatic_clean_10,linear,10,3,0.567460681637547,-3.196180052636331,0.8679742156548954,,,0.0838663703447104,9.936654812144498,-13.873309624288996,-9.873309624288996,True,sigma_color_stat_mag,True,False,2000,-3.2228014446798956,-3.189474439418285,-3.150438660495346,0.06476473868519923,0.8450546315448539,2.311866872783557,0.052124240101680354,0.07346432518821741,0.08942622716673382
paper_iv_high_quality_9,linear,9,3,0.567460681637547,-3.1746456403653034,0.6853090645937416,,,0.0674086336235126,10.67549839948598,-15.35099679897196,-10.550996798971958,True,sigma_color_stat_mag,True,False,2000,-3.193864912227056,-3.165234721413495,-3.1309222911930026,-0.3996005122251089,0.676503072109822,1.759178237211457,0.027911699634194764,0.05298775597000685,0.07139869672160923
