rho_intercept_slope,mean_delta_mag,sigma_mean_delta_mag
-1.0,-0.1118805176397091,0.1282021529618741
-0.99,-0.1119535847245207,0.12825220697484255
-0.98,-0.11202665180933231,0.12830221496563135
-0.97,-0.11209971889414394,0.12835217698803333
-0.96,-0.11217278597895562,0.12840209309570827
-0.95,-0.11224585306376722,0.12845196334218315
-0.94,-0.11231892014857883,0.12850178778085278
-0.9299999999999999,-0.11239198723339046,0.12855156646498023
-0.92,-0.11246505431820207,0.1286012994476971
-0.91,-0.11253812140301368,0.12865098678200426
-0.9,-0.11261118848782532,0.12870062852077196
-0.89,-0.11268425557263695,0.12875022471674052
-0.88,-0.11275732265744856,0.1287997754225207
-0.87,-0.11283038974226019,0.12884928069059398
-0.86,-0.11290345682707183,0.1288987405733133
-0.85,-0.11297652391188344,0.1289481551229032
-0.84,-0.11304959099669508,0.12899752439146042
-0.83,-0.11312265808150669,0.12904684843095426
-0.8200000000000001,-0.1131957251663183,0.12909612729322703
-0.81,-0.11326879225112993,0.12914536102999444
-0.8,-0.11334185933594156,0.12919454969284602
-0.79,-0.11341492642075317,0.1292436933332457
-0.78,-0.11348799350556478,0.12929279200253196
-0.77,-0.11356106059037639,0.12934184575191843
-0.76,-0.11363412767518805,0.12939085463249428
-0.75,-0.11370719475999969,0.12943981869522456
-0.74,-0.1137802618448113,0.12948873799095068
-0.73,-0.1138533289296229,0.12953761257039087
-0.72,-0.11392639601443455,0.12958644248414042
-0.71,-0.11399946309924615,0.1296352277826722
-0.7,-0.11407253018405779,0.12968396851633715
-0.69,-0.11414559726886934,0.12973266473536446
-0.6799999999999999,-0.11421866435368105,0.12978131648986216
-0.6699999999999999,-0.11429173143849264,0.1298299238298174
-0.6599999999999999,-0.11436479852330428,0.12987848680509698
-0.6499999999999999,-0.11443786560811592,0.12992700546544758
-0.64,-0.11451093269292752,0.12997547986049626
-0.63,-0.11458399977773913,0.1300239100397509
-0.62,-0.11465706686255078,0.13007229605260043
-0.61,-0.11473013394736238,0.13012063794831535
-0.6,-0.11480320103217401,0.13016893577604813
-0.59,-0.11487626811698562,0.1302171895848334
