rho_intercept_slope,mean_delta_mag,sigma_mean_delta_mag
-0.5800000000000001,-0.11494933520179725,0.13026539942358864
-0.5700000000000001,-0.11502240228660889,0.1303135653411143
-0.56,-0.11509546937142048,0.1303616873860943
-0.55,-0.1151685364562321,0.13040976560709638
-0.54,-0.11524160354104376,0.1304578000525726
-0.53,-0.11531467062585535,0.1305057907708594
-0.52,-0.11538773771066702,0.1305537378101783
-0.51,-0.11546080479547861,0.13060164121863618
-0.5,-0.11553387188029021,0.13064950104422554
-0.49,-0.11560693896510184,0.130697317334825
-0.48,-0.11568000604991346,0.13074509013819963
-0.47,-0.1157530731347251,0.13079281950200125
-0.45999999999999996,-0.1158261402195367,0.13084050547376888
-0.44999999999999996,-0.11589920730434837,0.1308881481009291
-0.43999999999999995,-0.11597227438915995,0.13093574743079633
-0.42999999999999994,-0.11604534147397158,0.1309833035105733
-0.42000000000000004,-0.11611840855878322,0.1310308163873513
-0.41000000000000003,-0.11619147564359483,0.13107828610811065
-0.4,-0.11626454272840643,0.13112571271972095
-0.39,-0.1163376098132181,0.13117309626894155
-0.38,-0.1164106768980297,0.13122043680242176
-0.37,-0.11648374398284132,0.13126773436670128
-0.36,-0.11655681106765294,0.1313149890082106
-0.35,-0.11662987815246458,0.13136220077327124
-0.33999999999999997,-0.11670294523727619,0.13140936970809622
-0.32999999999999996,-0.11677601232208781,0.1314564958587903
-0.31999999999999995,-0.11684907940689944,0.13150357927135028
-0.30999999999999994,-0.11692214649171107,0.13155061999166556
-0.29999999999999993,-0.11699521357652268,0.13159761806551834
-0.29000000000000004,-0.11706828066133432,0.13164457353858383
-0.28,-0.11714134774614596,0.13169148645643086
-0.27,-0.11721441483095754,0.131738356864522
-0.26,-0.11728748191576917,0.13178518480821402
-0.25,-0.11736054900058078,0.13183197033275823
-0.24,-0.11743361608539243,0.1318787134833006
-0.22999999999999998,-0.11750668317020405,0.1319254143048824
-0.21999999999999997,-0.11757975025501567,0.1319720728424404
-0.20999999999999996,-0.11765281733982728,0.13201868914080703
-0.19999999999999996,-0.1177258844246389,0.13206526324471105
-0.18999999999999995,-0.11779895150945054,0.13211179519877758
-0.17999999999999994,-0.11787201859426216,0.13215828504752858
-0.16999999999999993,-0.11794508567907376,0.13220473283538303
-0.16000000000000003,-0.1180181527638854,0.13225113860665752
-0.15000000000000002,-0.11809121984869704,0.13229750240556626
-0.14,-0.11816428693350865,0.13234382427622154
-0.13,-0.11823735401832028,0.13239010426263415
-0.12,-0.11831042110313186,0.13243634240871352
-0.10999999999999999,-0.11838348818794352,0.13248253875826815
-0.09999999999999998,-0.11845655527275514,0.1325286933550058
-0.08999999999999997,-0.11852962235756678,0.13257480624253407
-0.07999999999999996,-0.11860268944237838,0.13262087746436024
-0.06999999999999995,-0.11867575652719002,0.1326669070638922
-0.05999999999999994,-0.11874882361200162,0.13271289508443815
-0.04999999999999993,-0.11882189069681327,0.13275884156920742
-0.040000000000000036,-0.1188949577816249,0.13280474656131033
-0.030000000000000027,-0.11896802486643647,0.13285061010375887
-0.020000000000000018,-0.11904109195124811,0.13289643223946676
-0.010000000000000009,-0.11911415903605974,0.13294221301124992
0.0,-0.11918722612087135,0.13298795246182657
0.010000000000000009,-0.119260293205683,0.13303365063381775
0.020000000000000018,-0.11933336029049459,0.13307930756974748
0.030000000000000027,-0.11940642737530625,0.13312492331204306
0.040000000000000036,-0.11947949446011788,0.13317049790303553
0.050000000000000044,-0.11955256154492946,0.1332160313849597
0.06000000000000005,-0.11962562862974109,0.13326152379995462
0.07000000000000006,-0.11969869571455272,0.13330697519006393
0.08000000000000007,-0.11977176279936434,0.13335238559723595
0.09000000000000008,-0.11984482988417598,0.13339775506332413
0.10000000000000009,-0.11991789696898758,0.13344308363008728
0.1100000000000001,-0.11999096405379923,0.13348837133918992
0.1200000000000001,-0.12006403113861083,0.13353361823220242
0.13000000000000012,-0.12013709822342244,0.13357882435060145
0.14000000000000012,-0.12021016530823408,0.13362398973577025
0.15000000000000013,-0.12028323239304571,0.13366911442899876
0.15999999999999992,-0.12035629947785732,0.13371419847148405
0.16999999999999993,-0.12042936656266899,0.13375924190433058
0.17999999999999994,-0.12050243364748056,0.13380424476855046
0.18999999999999995,-0.12057550073229222,0.1338492071050637
0.19999999999999996,-0.1206485678171038,0.13389412895469852
0.20999999999999996,-0.12072163490191544,0.1339390103581917
0.21999999999999997,-0.12079470198672705,0.13398385135618865
0.22999999999999998,-0.12086776907153865,0.13402865198924396
0.24,-0.12094083615635033,0.13407341229782146
0.25,-0.12101390324116193,0.13411813232229453
0.26,-0.12108697032597357,0.13416281210294648
0.27,-0.1211600374107852,0.13420745167997072
0.28,-0.12123310449559681,0.13425205109347108
0.29000000000000004,-0.12130617158040842,0.134296610383462
0.30000000000000004,-0.12137923866522005,0.13434112958986894
0.31000000000000005,-0.12145230575003167,0.13438560875252847
0.32000000000000006,-0.12152537283484327,0.13443004791118868
0.33000000000000007,-0.12159843991965491,0.1344744471055094
0.3400000000000001,-0.12167150700446656,0.1345188063750625
0.3500000000000001,-0.12174457408927816,0.134563125759332
0.3600000000000001,-0.12181764117408979,0.13460740529771448
0.3700000000000001,-0.12189070825890144,0.13465164502951932
0.3800000000000001,-0.12196377534371304,0.134695844993969
0.3900000000000001,-0.12203684242852468,0.13474000523019916
0.40000000000000013,-0.12210990951333628,0.13478412577725915
0.4099999999999999,-0.1221829765981479,0.13482820667411202
0.41999999999999993,-0.12225604368295954,0.13487224795963496
0.42999999999999994,-0.12232911076777114,0.1349162496726194
0.43999999999999995,-0.12240217785258276,0.13496021185177146
0.44999999999999996,-0.12247524493739437,0.135004134535712
0.45999999999999996,-0.12254831202220604,0.135048017762977
0.47,-0.12262137910701763,0.13509186157201777
0.48,-0.12269444619182927,0.13513566600120125
0.49,-0.1227675132766409,0.1351794310888101
0.5,-0.12284058036145253,0.1352231568730431
0.51,-0.12291364744626414,0.13526684339201542
0.52,-0.12298671453107575,0.13531049068375878
0.53,-0.12305978161588739,0.13535409878622162
0.54,-0.123132848700699,0.13539766773726958
0.55,-0.12320591578551064,0.13544119757468553
0.56,-0.12327898287032227,0.1354846883361699
0.5700000000000001,-0.12335204995513385,0.13552814005934083
0.5800000000000001,-0.12342511703994549,0.13557155278173463
0.5900000000000001,-0.12349818412475713,0.13561492654080579
0.6000000000000001,-0.12357125120956873,0.13565826137392728
0.6100000000000001,-0.12364431829438037,0.1357015573183909
0.6200000000000001,-0.123717385379192,0.13574481441140737
0.6300000000000001,-0.12379045246400361,0.13578803269010659
0.6400000000000001,-0.12386351954881519,0.135831212191538
0.6500000000000001,-0.12393658663362686,0.13587435295267067
0.6600000000000001,-0.12400965371843847,0.13591745501039357
0.6699999999999999,-0.12408272080325006,0.13596051840151585
0.6799999999999999,-0.1241557878880617,0.13600354316276705
0.69,-0.12422885497287335,0.13604652933079728
0.7,-0.12430192205768496,0.13608947694217752
0.71,-0.12437498914249659,0.13613238603339978
0.72,-0.1244480562273082,0.1361752566408774
0.73,-0.12452112331211984,0.1362180888009453
0.74,-0.12459419039693143,0.13626088254986
0.75,-0.12466725748174307,0.1363036379238001
0.76,-0.12474032456655472,0.13634635495886638
0.77,-0.12481339165136632,0.13638903369108205
0.78,-0.12488645873617796,0.13643167415639293
0.79,-0.1249595258209896,0.13647427639066775
0.8,-0.12503259290580118,0.1365168404296983
0.81,-0.12510565999061282,0.13655936630919965
0.8200000000000001,-0.1251787270754244,0.13660185406481049
0.8300000000000001,-0.12525179416023605,0.1366443037320931
0.8400000000000001,-0.12532486124504766,0.13668671534653393
0.8500000000000001,-0.12539792832985933,0.1367290889435434
0.8600000000000001,-0.12547099541467094,0.1367714245584565
0.8700000000000001,-0.12554406249948255,0.13681372222653265
0.8800000000000001,-0.12561712958429416,0.13685598198295626
0.8900000000000001,-0.12569019666910577,0.13689820386283674
0.9000000000000001,-0.1257632637539174,0.13694038790120866
0.9100000000000001,-0.125836330838729,0.13698253413303213
0.9199999999999999,-0.1259093979235407,0.13702464259319297
0.9299999999999999,-0.12598246500835228,0.1370667133165028
0.94,-0.12605553209316392,0.1371087463376994
0.95,-0.12612859917797553,0.1371507416914468
0.96,-0.12620166626278717,0.13719269941233558
0.97,-0.12627473334759876,0.13723461953488303
0.98,-0.1263478004324104,0.13727650209353337
0.99,-0.126420867517222,0.13731834712265795
1.0,-0.12649393460203365,0.1373601546565554
