galaxy,mu_lit,mu_cluster,delta_mu_cluster_minus_paper4,Mbar_F150W_paper4,Mbar_F150W_cluster,anchor_source,sigma_mu_cluster_statistical,sigma_mu_anchor_shared_mag
NGC 1380,31.408,31.424,0.015999999999998238,-3.3207768613494366,-3.336776861349435,Paper III Fornax mean + individual depth,0.056648036153074184,0.02
NGC 4697,30.324,30.33,0.005999999999996675,-3.2291206719114776,-3.2351206719114742,Paper III individual,0.036,0.0
NGC 1404,31.366,31.424,0.05799999999999983,-3.18900072481264,-3.24700072481264,Paper III Fornax mean + individual depth,0.056648036153074184,0.02
NGC 1399,31.498,31.424,-0.07400000000000162,-3.340688828426604,-3.2666888284266022,Paper III Fornax mean + individual depth,0.056648036153074184,0.02
NGC 4552,30.923,31.055,0.13200000000000145,-3.0725889412012393,-3.2045889412012407,Paper III Virgo mean + individual depth,0.08598837130682266,0.013
NGC 4636,31.07,31.055,-0.015000000000000568,-3.1794986569002006,-3.1644986569002,Paper III Virgo mean + individual depth,0.08598837130682266,0.013
NGC 4649,31.009,31.055,0.045999999999999375,-3.1364024405030015,-3.182402440503001,Paper III Virgo mean + individual depth,0.08598837130682266,0.013
NGC 4472,31.016,31.055,0.03900000000000148,-3.303238947097995,-3.3422389470979965,Paper III Virgo mean + individual depth,0.08598837130682266,0.013
