scenario,model,intercept,slope,sigma_int_mag,aicc,loo_bias_mag,loo_rmse_mag
Pr=0,constant,-3.210249837810897,0.0,0.0796629294290017,-24.01592935267642,-0.0009768733146179795,0.09159442173691865
Pr=0,linear,-3.2119764559700164,0.2476775040255017,0.07877970758285331,-20.899063146585274,-0.005436558193426778,0.09701026818535737
adopted Pr,constant,-3.207792532862019,0.0,0.08052189556319679,-23.7541825259984,-0.0009846104768629666,0.092468507631199
adopted Pr,linear,-3.2094130281795388,0.23154714487550082,0.079742736082647,-20.60998160216525,-0.005479901108485207,0.09805702625824214
2Pr,constant,-3.2053232802140217,0.0,0.08141735317592075,-23.483540375680175,-0.000991508775921801,0.09338069223350265
2Pr,linear,-3.2068360657812045,0.21530435142129134,0.08073585142343263,-20.314299571253716,-0.005523610072916542,0.09913989042127272
special GCLF widths,constant,-3.207752428218087,0.0,0.08046217921867471,-23.772572126744357,-0.0009852050186963826,0.09240613951132862
special GCLF widths,linear,-3.2093735432971062,0.23169087006683606,0.07968135046491012,-20.628780412123998,-0.005484049859857113,0.09799991836912597
