test,n,intercept,slope,sigma_int_mag,loo_rmse_mag,aicc
Линейная зависимость,14,-3.2093277692711255,0.22429653056319196,0.07983625718575912,0.09809307697389456,-20.600301756015366
Все 14: ограниченный визуальный вес,14,-3.2069477019241135,0.2822859742486628,0.08258582417483014,0.0987753290173758,
Все 14: прямой вес score/10,14,-3.203909564495867,0.38214795334566865,0.08534976765904499,0.09990390935698361,
11/14 с оценкой ≥ 6,11,-3.197926142186021,0.7928071016293377,0.0799278370087275,0.10297562311192107,-13.421323472959466
