model,description,n_parameters,aicc,sigma_int,intercept,slope,curvature,slope_change,loo_bias_mag,loo_rmse_mag,loo_wrms_mag,loo_median_abs_mag,delta_aicc_vs_linear
broken,Ломаная при C0,4,-20.320837280265003,0.0675456523384409,-3.1585318172907146,2.245021099156811,,-3.351799702090473,-9.910244644219444e-05,0.09217870957901046,0.10482332403752175,0.06825913214950674,0.27940269833036524
constant,Без зависимости от цвета,2,-23.754044241171968,0.08052233783582698,-3.207794453358021,0.0,,,-0.0009846351246396118,0.09246896885177683,0.09642223291246198,0.07877307513120257,-3.1538042625765996
quadratic,Парабола,4,-19.766784177360513,0.06908122516963675,-3.1742728095178934,0.6368758853359783,-22.354992114367246,,0.0029454718124468015,0.09448987413993201,0.10110776370218355,0.08476112307448957,0.8334558012348552
linear,Прямая,3,-20.60023997859537,0.07978282606066492,-3.209350316106608,0.2244193337611191,,,-0.005458955894792997,0.09810401074215695,0.10203264944701987,0.07832481473741737,0.0
