galaxy,ring,branch,space,sigma,threshold_median,threshold_scale,threshold_n_pixels,lower,upper,changed_pixels,changed_fraction,subtracted_mean,n_use
NGC 4486,inner,no_winsor,none,,,,,,,0,0.0,0.00377714411510167,640239
NGC 4486,inner,raw_global_3p5,raw,3.5,-0.11751817911863327,0.9434409141540527,6059514.0,-3.419561378657818,3.1845250204205513,38184,0.05964022810231804,-0.0006790065989428641,640239
NGC 4486,inner,normalized_full_3p5,normalized_full,3.5,-0.042374836046822205,0.28890262651444104,6059514.0,-1.0535340288473658,0.9687843567537214,1959,0.0030597948578577686,0.003088096583261594,640239
NGC 4486,inner,normalized_union_3p5,normalized_union,3.5,-0.027484674893115037,0.3019801713849567,2710747.0,-1.0844152747404634,1.0294459249542334,1401,0.0021882453271356477,0.0032455450568282056,640239
NGC 4486,outer,no_winsor,none,,,,,,,0,0.0,-0.02532018344687634,2070508
NGC 4486,outer,raw_global_3p5,raw,3.5,-0.11751817911863327,0.9434409141540527,6059514.0,-3.419561378657818,3.1845250204205513,4611,0.0022269897049419754,-0.02546995521788413,2070508
NGC 4486,outer,normalized_full_3p5,normalized_full,3.5,-0.042374836046822205,0.28890262651444104,6059514.0,-1.0535340288473658,0.9687843567537214,919,0.0004438524265542563,-0.025353756097560038,2070508
NGC 4486,outer,normalized_union_3p5,normalized_union,3.5,-0.027484674893115037,0.3019801713849567,2710747.0,-1.0844152747404634,1.0294459249542334,431,0.00020816147534807883,-0.025334899419327324,2070508
