program,target,obsid,download_enabled,availability_status,science_role,priority,public_release_date,signal_filter,color_filter,signal_product,color_product,signal_product_uri,color_product_uri,signal_exposure_time_s,color_exposure_time_s,signal_content_length_bytes,color_content_length_bytes,morphology,redshift,external_distance_modulus,distance_method,hst_overlap,dust_flag,spiral_flag,resolved_flag,field_contamination_flag,calibration_family,notes
7763,IC 3509,o067_t067,true,public,virgo_sbf_sample,2,2026-06-30,F150W,F115W,jw07763-o067_t067_nircam_clear-f150w_i2d.fits,jw07763-o067_t067_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o067_t067_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o067_t067_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,IC 3586,o052_t052,true,public,virgo_sbf_sample,2,2026-06-30,F150W,F115W,jw07763-o052_t052_nircam_clear-f150w_i2d.fits,jw07763-o052_t052_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o052_t052_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o052_t052_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,IC 3631,o050_t050,true,public,virgo_sbf_sample,2,2026-06-29,F150W,F115W,jw07763-o050_t050_nircam_clear-f150w_i2d.fits,jw07763-o050_t050_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o050_t050_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o050_t050_nircam_clear-f115w_i2d.fits,,,1216258560,1215976320,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,IC 3635,o069_t069,true,public,virgo_sbf_sample,2,2026-06-28,F150W,F115W,jw07763-o069_t069_nircam_clear-f150w_i2d.fits,jw07763-o069_t069_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o069_t069_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o069_t069_nircam_clear-f115w_i2d.fits,,,1215855360,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4294,o025_t025,true,public,virgo_sbf_sample,2,2026-06-08,F150W,F115W,jw07763-o025_t025_nircam_clear-f150w_i2d.fits,jw07763-o025_t025_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o025_t025_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o025_t025_nircam_clear-f115w_i2d.fits,,,1216137600,1215855360,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4299,o032_t032,true,public,virgo_sbf_sample,2,2026-06-07,F150W,F115W,jw07763-o032_t032_nircam_clear-f150w_i2d.fits,jw07763-o032_t032_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o032_t032_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o032_t032_nircam_clear-f115w_i2d.fits,,,1215855360,1216258560,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4306,o038_t038,true,public,virgo_sbf_sample,2,2026-06-07,F150W,F115W,jw07763-o038_t038_nircam_clear-f150w_i2d.fits,jw07763-o038_t038_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o038_t038_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o038_t038_nircam_clear-f115w_i2d.fits,,,1216258560,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4313,o019_t019,true,public,virgo_sbf_sample,2,2026-06-02,F150W,F115W,jw07763-o019_t019_nircam_clear-f150w_i2d.fits,jw07763-o019_t019_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o019_t019_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o019_t019_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4351,o039_t039,true,public,virgo_sbf_sample,2,2026-06-08,F150W,F115W,jw07763-o039_t039_nircam_clear-f150w_i2d.fits,jw07763-o039_t039_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o039_t039_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o039_t039_nircam_clear-f115w_i2d.fits,,,1216258560,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4352,o036_t036,true,public,virgo_sbf_sample,2,2026-06-18,F150W,F115W,jw07763-o036_t036_nircam_clear-f150w_i2d.fits,jw07763-o036_t036_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o036_t036_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o036_t036_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
