region,role,shape,rin_px,rout_px,rin_arcsec,rout_arcsec,resid_source,model_source,region_pixels,usable_pixels,usable_fraction,kmin,kmax,status,measurement_ok,failure_reason,region_name,region_role,n_use,Imean,P0,P1,P_fluc,Pr,Pr_over_P0,frac,corr,n_fit,fit_resid_std,P0_fit_sigma,mbar_fit_sigma_raw,mbar_fit_sigma,Pf_spec_raw,Pf_spec,Pf_spec_sigma_formal_raw,Pf_spec_sigma_formal,mbar_spec_raw,mbar_spec,n_detected_sources,n_detected_sources_total,m_lim,m_lim_method,lf_model,lf_gamma,lf_phi_mlim,lf_fit_method,lf_fit_rmse,lf_n_fit_bins,lf_n_fit_sources,lf_fit_mbright,lf_fit_mfaint,pr_note
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649918,649034,0.9986398284091224,0.01,0.25,ok,True,,circular_inner_lit,science,649034,14.633295376802879,17.066640036954958,-1.461373407121629,16.861366047208925,0.20527398974603348,0.012027791604061897,1.0936461671425628,0.9928661004308109,27,0.2824463961551045,0.40991130587241054,0.026077514060275857,0.02639498746894414,1.1662882213127117,1.1522603496364905,0.028012234791775864,0.028012234791775864,27.83255979171684,27.845697971518128,4131,4131,25.875,region_turnover_hist,combined_power_law,0.2789624081364777,0.004917666325226835,local_histogram,0.028182185772746997,6,3068,24.375,25.875,local combined contaminant LF
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649918,649034,0.9986398284091224,0.03,0.25,ok,True,,circular_inner_lit,science,649034,14.633295376802879,15.71519790104125,-1.1829995224644363,15.509923911295218,0.20527398974603348,0.013062132022685666,1.081405406920979,0.9972955532697527,25,0.133173513866348,0.2414862664927052,0.016683874051985556,0.016904685282953445,1.0739343050474766,1.0599064333712551,0.0165025211529261,0.016502521152926098,27.92213022712879,27.936405695110096,4131,4131,25.875,region_turnover_hist,combined_power_law,0.2789624081364777,0.004917666325226835,local_histogram,0.028182185772746997,6,3068,24.375,25.875,local combined contaminant LF
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649918,649034,0.9986398284091224,0.04,0.25,ok,True,,circular_inner_lit,science,649034,14.633295376802879,15.359521568844269,-1.1145059032646183,15.154247579098236,0.20527398974603348,0.013364608319729023,1.0782383066069634,0.9979987895052049,24,0.10336140622110111,0.2074819540380912,0.014666516031987858,0.014865183385536496,1.049628342307135,1.0356004706309136,0.01417875801010602,0.014178758010106018,27.946985642893207,27.96159391784557,4131,4131,25.875,region_turnover_hist,combined_power_law,0.2789624081364777,0.004917666325226835,local_histogram,0.028182185772746997,6,3068,24.375,25.875,local combined contaminant LF
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599595,2091134,0.8044076096468873,0.01,0.25,ok,True,,circular_outer_lit,science,2091134,5.367121857284282,7.436196772730278,-0.6925475917160178,7.199063199418758,0.23713357331152043,0.03188909338455474,1.1026962662390243,0.9877456325997278,27,0.1631456393263538,0.23499661323787688,0.034311132260991466,0.03544132395010874,1.3855092115409748,1.3413265789089839,0.04378447508489833,0.04378447508489833,27.645550971844532,27.680738189699486,3326,3326,25.875,region_turnover_hist,combined_power_law,0.6334502015462814,0.0018159054550685259,local_histogram,0.04268844836654683,6,2297,24.375,25.875,local combined contaminant LF
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599595,2091134,0.8044076096468873,0.03,0.25,ok,True,,circular_outer_lit,science,2091134,5.367121857284282,6.660500839806592,-0.5307067746673843,6.423367266495072,0.23713357331152043,0.03560296425372215,1.0865782388490945,0.9969762266847336,25,0.05969965748294,0.1082478375580955,0.01764560941441363,0.018297038211817974,1.2409818552502083,1.1967992226182176,0.020168693843084826,0.02016869384308483,27.76516093666394,27.804521269607502,3326,3326,25.875,region_turnover_hist,combined_power_law,0.6334502015462814,0.0018159054550685259,local_histogram,0.04268844836654683,6,2297,24.375,25.875,local combined contaminant LF
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599595,2091134,0.8044076096468873,0.04,0.25,ok,True,,circular_outer_lit,science,2091134,5.367121857284282,6.564920694299751,-0.512308044080195,6.327787120988231,0.23713357331152043,0.03612131575594218,1.084642463294196,0.996777057439145,24,0.05614040915085428,0.11264480878120176,0.018629706719534508,0.019327854245625574,1.2231734007286998,1.178990768096709,0.020987935764551297,0.0209879357645513,27.780854444946623,27.82079850458495,3326,3326,25.875,region_turnover_hist,combined_power_law,0.6334502015462814,0.0018159054550685259,local_histogram,0.04268844836654683,6,2297,24.375,25.875,local combined contaminant LF
