summary,signal_filter,color_filter,color_name,sampling_mode,color_index,sigma_proxy,notes
SBF-weighted circular-annuli color,F150W,F090W,F090W-F150W,wcs_bilinear,0.5251654310984576,0.010883703526530786,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,F150W,F090W,F090W-F150W,wcs_bilinear,0.5296367801332782,0.01539188113606772,simple annulus-matched diagnostic color summary
