model_intensity,residual_median,residual_sigma,n_pixels,residual_sigma_monotonic
1.1485611200332642,0.0005401178495958447,0.2304149866104126,8083,0.2304149866104126
1.374536395072937,-0.0010628894669935107,0.25093284249305725,8083,0.25093284249305725
1.5845420360565186,0.005212883464992046,0.26701974868774414,8083,0.26701974868774414
1.7678425312042236,-0.002063174732029438,0.28891757130622864,8083,0.28891757130622864
1.9259952306747437,0.0022827787324786186,0.3067409098148346,8083,0.3067409098148346
2.1050217151641846,0.007552723400294781,0.32567039132118225,8083,0.32567039132118225
2.310922145843506,-0.005177636630833149,0.3447088599205017,8082,0.3447088599205017
2.53367018699646,-0.02220143750309944,0.3601372539997101,8083,0.3601372539997101
2.7853927612304688,-0.010542173869907856,0.38476502895355225,8083,0.38476502895355225
3.0476036071777344,-0.04502226784825325,0.41236403584480286,8083,0.41236403584480286
3.2875208854675293,0.015577297657728195,0.4180070459842682,8083,0.4180070459842682
3.633284091949463,0.023685436695814133,0.44073551893234253,8083,0.44073551893234253
4.041408538818359,0.059336524456739426,0.47883668541908264,8083,0.47883668541908264
4.546929836273193,0.06911680847406387,0.5241896510124207,8082,0.5241896510124207
5.200323104858398,0.05259869620203972,0.5886772871017456,8083,0.5886772871017456
5.966714859008789,0.1717350333929062,0.6077173948287964,8083,0.6077173948287964
7.2769246101379395,0.2266995757818222,0.6971284747123718,8083,0.6971284747123718
8.894633293151855,0.535259485244751,0.842869222164154,8083,0.842869222164154
12.002028465270996,1.331845998764038,1.292455792427063,8083,1.292455792427063
20.430509567260742,5.522078990936279,5.720462322235107,8083,5.720462322235107
