region,role,shape,rin_px,rout_px,rin_arcsec,rout_arcsec,resid_source,model_source,region_pixels,usable_pixels,usable_fraction,kmin,kmax,schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,quantity_family,quantity_name,primary_unit,method_id,method_variant,region_id,region_role,region_geometry,ring_selection,power_correction,calibration_applied,distance_computed,psf_method,psf_detector_set,psf_opd_corr_id,psf_opd_delta_days,psf_input_count,psf_extension,psf_native_scale_rel_error,psf_method_limitations,psf_siaf_prd_version,status,measurement_ok,failure_reason,region_name,n_use,Imean,P0,P1,P_fluc,Pr,Pr_over_P0,frac,corr,n_fit,fit_resid_std,P0_fit_sigma,mbar_fit_sigma_raw,mbar_fit_sigma,Pf_spec_raw,Pf_spec,Pf_spec_sigma_formal_raw,Pf_spec_sigma_formal,mbar_spec_raw,mbar_spec,n_detected_sources,n_detected_sources_total,m_lim,m_lim_method,lf_model,lf_gamma,lf_phi_mlim,lf_fit_method,lf_fit_rmse,lf_n_fit_bins,lf_n_fit_sources,lf_fit_mbright,lf_fit_mfaint,pr_note,ring_qc_status,ring_qc_reasons,ring_k_stability_mag,selected_for_final,selection_reason
circular_inner_lit,science,circle,262.6181993893305,525.236398778661,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650017,649886,0.9997984668093296,0.01,0.25,sbf-table-2,sbf-3.1,NGC 4459,7763,009,F150W,F115W,sbf_fit,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,fft_psf_window_pr_corrected_v1,k=0.010..0.250,circular_inner_lit,science,fixed_circular_annulus,fixed_literature_qc_single_annulus,P_fluc=P0-Pr,False,False,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026051901,-14.012434027777777,4,OVERDIST,0.014294615201829619,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,ok,True,,circular_inner_lit,649886,11.359701744281564,17.929839766145925,-1.3131042440296756,17.7322437887272,0.19759597741872612,0.011020509942973126,1.0790229971634309,0.9943229601647753,27,0.26764127579262287,0.3837405127936051,0.023237294555144006,0.023496235047103037,1.5783724053469754,1.5609779365601348,0.033780861631052844,0.033780861631052844,27.504222448867072,27.51625423617195,6110,6110,25.875,region_turnover_hist,combined_power_law,0.1607926922367639,0.005805486253799308,local_histogram,0.022665935976600403,6,4336,24.375,25.875,local combined contaminant LF,PASS,all encoded checks passed,0.022285306757947154,False,diagnostic ring or diagnostic k-window
circular_inner_lit,science,circle,262.6181993893305,525.236398778661,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650017,649886,0.9997984668093296,0.03,0.25,sbf-table-2,sbf-3.1,NGC 4459,7763,009,F150W,F115W,sbf_fit,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,fft_psf_window_pr_corrected_v1,k=0.030..0.250,circular_inner_lit,science,fixed_circular_annulus,fixed_literature_qc_single_annulus,P_fluc=P0-Pr,False,False,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026051901,-14.012434027777777,4,OVERDIST,0.014294615201829619,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,ok,True,,circular_inner_lit,649886,11.359701744281564,16.804430690924683,-1.0916840275594901,16.606834713505958,0.19759597741872612,0.011758564217557149,1.069477606363042,0.9973554334552511,25,0.1432067351104908,0.2553376489531833,0.016497394943347406,0.016693688754596234,1.4793021039820855,1.4619076351952447,0.022477495862223622,0.02247749586222362,27.574603960389904,27.587446311930407,6110,6110,25.875,region_turnover_hist,combined_power_law,0.1607926922367639,0.005805486253799308,local_histogram,0.022665935976600403,6,4336,24.375,25.875,local combined contaminant LF,PASS,all encoded checks passed,0.022285306757947154,False,diagnostic ring or diagnostic k-window
circular_inner_lit,science,circle,262.6181993893305,525.236398778661,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650017,649886,0.9997984668093296,0.04,0.25,sbf-table-2,sbf-3.1,NGC 4459,7763,009,F150W,F115W,sbf_fit,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,fft_psf_window_pr_corrected_v1,k=0.040..0.250,circular_inner_lit,science,fixed_circular_annulus,fixed_literature_qc_single_annulus,P_fluc=P0-Pr,False,False,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026051901,-14.012434027777777,4,OVERDIST,0.014294615201829619,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,ok,True,,circular_inner_lit,649886,11.359701744281564,16.467041067129845,-1.0301643079053089,16.26944508971112,0.19759597741872612,0.01199948288300264,1.0667339853762658,0.9977690740068512,24,0.11896292304521264,0.2349034601986888,0.015488100765703009,0.01567620714500996,1.4496015333694212,1.4322070645825806,0.02067866441272883,0.02067866441272883,27.596624548429183,27.609731618688354,6110,6110,25.875,region_turnover_hist,combined_power_law,0.1607926922367639,0.005805486253799308,local_histogram,0.022665935976600403,6,4336,24.375,25.875,local combined contaminant LF,PASS,all encoded checks passed,0.022285306757947154,True,single_annulus_qc_rank_then_k03_k04_stability_v1
circular_outer_lit,science,circle,525.236398778661,1050.472797557322,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600066,2427990,0.9338186030662299,0.01,0.25,sbf-table-2,sbf-3.1,NGC 4459,7763,009,F150W,F115W,sbf_fit,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,fft_psf_window_pr_corrected_v1,k=0.010..0.250,circular_outer_lit,science,fixed_circular_annulus,fixed_literature_qc_single_annulus,P_fluc=P0-Pr,False,False,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026051901,-14.012434027777777,4,OVERDIST,0.014294615201829619,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,ok,True,,circular_outer_lit,2427990,3.346207626831911,7.669081454389687,-0.735963636790337,7.17214769721949,0.49693375717019733,0.0647970373147828,1.106151901085848,0.951565145654904,27,0.347546357800447,0.495570385386146,0.07015947250262931,0.07502058408923637,2.2918725643006628,2.143366012230946,0.14809911417700558,0.14809911417700558,27.09926998334852,27.172005298390165,6319,6319,25.875,region_turnover_hist,combined_power_law,0.6739613210884616,0.0028788637599190658,local_histogram,0.05282961163785915,6,4029,24.375,25.875,local combined contaminant LF,PASS,all encoded checks passed,0.04673867877075111,False,diagnostic ring or diagnostic k-window
circular_outer_lit,science,circle,525.236398778661,1050.472797557322,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600066,2427990,0.9338186030662299,0.03,0.25,sbf-table-2,sbf-3.1,NGC 4459,7763,009,F150W,F115W,sbf_fit,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,fft_psf_window_pr_corrected_v1,k=0.030..0.250,circular_outer_lit,science,fixed_circular_annulus,fixed_literature_qc_single_annulus,P_fluc=P0-Pr,False,False,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026051901,-14.012434027777777,4,OVERDIST,0.014294615201829619,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,ok,True,,circular_outer_lit,2427990,3.346207626831911,6.050942739135769,-0.4152654374890523,5.554008981965572,0.49693375717019733,0.08212501400090465,1.0736850985715087,0.994470419113138,25,0.07463993850321976,0.1332377110514471,0.02390718487419033,0.02604623204560658,1.808298651469102,1.659792099399385,0.03981752655844389,0.03981752655844389,27.35657075167467,27.44961191519639,6319,6319,25.875,region_turnover_hist,combined_power_law,0.6739613210884616,0.0028788637599190658,local_histogram,0.05282961163785915,6,4029,24.375,25.875,local combined contaminant LF,PASS,all encoded checks passed,0.04673867877075111,False,diagnostic ring or diagnostic k-window
circular_outer_lit,science,circle,525.236398778661,1050.472797557322,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600066,2427990,0.9338186030662299,0.04,0.25,sbf-table-2,sbf-3.1,NGC 4459,7763,009,F150W,F115W,sbf_fit,sbf_power_and_apparent_magnitude,mbar_spec,AB mag,fft_psf_window_pr_corrected_v1,k=0.040..0.250,circular_outer_lit,science,fixed_circular_annulus,fixed_literature_qc_single_annulus,P_fluc=P0-Pr,False,False,stpsf_center_context_exposure_weighted_scale_resampled_v1,NRCA2,O2026051901,-14.012434027777777,4,OVERDIST,0.014294615201829619,center contributors only; scale matched; no explicit drizzle kernel or ring-position weighting,PRDOPSSOC-072,ok,True,,circular_outer_lit,2427990,3.346207626831911,5.816927313243555,-0.37268773321742504,5.319993556073358,0.49693375717019733,0.08542890952734013,1.0684554248098752,0.9971610239630212,24,0.047471221938294464,0.09364927208269366,0.017479744850504027,0.019112505340039023,1.7383641309642366,1.5898575788945197,0.027986688970450403,0.027986688970450403,27.399394267076744,27.49635059396714,6319,6319,25.875,region_turnover_hist,combined_power_law,0.6739613210884616,0.0028788637599190658,local_histogram,0.05282961163785915,6,4029,24.375,25.875,local combined contaminant LF,PASS,all encoded checks passed,0.04673867877075111,False,diagnostic ring or diagnostic k-window
