model_intensity,residual_median,residual_sigma,n_pixels,residual_sigma_monotonic
0.46771275997161865,0.00011651896056719124,0.10092552751302719,7345,0.10092552751302719
0.5389939546585083,-0.0033073804806917906,0.11651234328746796,7345,0.11651234328746796
0.599367618560791,0.002043596701696515,0.1270993947982788,7345,0.1270993947982788
0.6664149761199951,-0.005556829739362001,0.135189950466156,7345,0.135189950466156
0.7297637462615967,0.0019452192354947329,0.1409846991300583,7345,0.1409846991300583
0.8254344463348389,-0.0029298446606844664,0.15234032273292542,7345,0.15234032273292542
0.9405067563056946,-0.008263477124273777,0.1647525578737259,7345,0.1647525578737259
1.0825839042663574,0.003885916667059064,0.18629099428653717,7345,0.18629099428653717
1.2595794200897217,-0.001843758625909686,0.2086382359266281,7345,0.2086382359266281
1.4776220321655273,0.009625784121453762,0.22649280726909637,7345,0.22649280726909637
1.8008722066879272,-0.02610117942094803,0.2793167531490326,7345,0.2793167531490326
2.2118117809295654,-0.006576963234692812,0.3205513656139374,7345,0.3205513656139374
2.685429096221924,0.006122879218310118,0.38050928711891174,7345,0.38050928711891174
3.1222314834594727,-0.03219420462846756,0.41762369871139526,7345,0.41762369871139526
3.7188210487365723,0.13133470714092255,0.4126186966896057,7345,0.41762369871139526
4.663095474243164,0.20390908420085907,0.479200154542923,7345,0.479200154542923
5.882562160491943,0.39409297704696655,0.5844809412956238,7345,0.5844809412956238
7.833455562591553,0.7904173731803894,0.8132553100585938,7345,0.8132553100585938
11.757847785949707,1.9584885835647583,1.5342479944229126,7345,1.5342479944229126
24.632888793945312,10.336870193481445,10.138763427734375,7345,10.138763427734375
