region,role,shape,rin_px,rout_px,rin_arcsec,rout_arcsec,resid_source,model_source,region_pixels,usable_pixels,usable_fraction,kmin,kmax,status,measurement_ok,failure_reason,region_name,region_role,n_use,Imean,P0,P1,P_fluc,Pr,Pr_over_P0,frac,corr,n_fit,fit_resid_std,P0_fit_sigma,mbar_fit_sigma_raw,mbar_fit_sigma,Pf_spec_raw,Pf_spec,Pf_spec_sigma_formal_raw,Pf_spec_sigma_formal,mbar_spec_raw,mbar_spec,n_detected_sources,n_detected_sources_total,m_lim,m_lim_method,lf_model,lf_gamma,lf_phi_mlim,lf_fit_method,lf_fit_rmse,lf_n_fit_bins,lf_n_fit_sources,lf_fit_mbright,lf_fit_mfaint,pr_note
circular_inner_lit,science,circle,262.61973452326936,525.2394690465387,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650030,649392,0.999018506838146,0.01,0.25,ok,True,,circular_inner_lit,science,649392,16.445937905848403,25.488383567099312,-2.3131742853748247,25.11830202995331,0.37008153714600167,0.014519615815249541,1.09981244429145,0.9845532327090137,27,0.6215059525652187,0.9065322640659269,0.038615822666299676,0.03918477047947032,1.5498285177177575,1.5273256030609779,0.055121955905205716,0.05512195590520571,27.524049721303825,27.53992976093997,5557,5557,25.625,region_turnover_hist,combined_power_law,0.25977311557574134,0.005798053631669485,local_histogram,0.028664253199493544,6,3721,24.125,25.625,local combined contaminant LF
circular_inner_lit,science,circle,262.61973452326936,525.2394690465387,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650030,649392,0.999018506838146,0.03,0.25,ok,True,,circular_inner_lit,science,649392,16.445937905848403,23.124316079453145,-1.8172850714035576,22.75423454230714,0.37008153714600167,0.016003999247996507,1.0852903940824512,0.9945970225718486,25,0.27722076983190413,0.5032710906659782,0.023629656421695375,0.024013976076769403,1.4060807119568302,1.3835777973000507,0.030601543891699116,0.03060154389169912,27.62973321402352,27.647249880686186,5557,5557,25.625,region_turnover_hist,combined_power_law,0.25977311557574134,0.005798053631669485,local_histogram,0.028664253199493544,6,3721,24.125,25.625,local combined contaminant LF
circular_inner_lit,science,circle,262.61973452326936,525.2394690465387,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,650030,649392,0.999018506838146,0.04,0.25,ok,True,,circular_inner_lit,science,649392,16.445937905848403,22.930221508862115,-1.7800838849422385,22.56013997171611,0.37008153714600167,0.016139466293553766,1.084164175032556,0.9935392894718297,24,0.27887773454404396,0.558424423937426,0.026441158209297762,0.026874904829943095,1.394278735584172,1.3717758209273923,0.03395515823629874,0.03395515823629874,27.638884831264836,27.65655098186962,5557,5557,25.625,region_turnover_hist,combined_power_law,0.25977311557574134,0.005798053631669485,local_histogram,0.028664253199493544,6,3721,24.125,25.625,local combined contaminant LF
circular_outer_lit,science,circle,525.2394690465387,1050.4789380930774,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600084,2263126,0.8704049561475706,0.01,0.25,ok,True,,circular_outer_lit,science,2263126,4.807935700978709,9.331845274647069,-0.8670139661325924,8.999510153492611,0.332335121154458,0.03561301236501984,1.1024254275759156,0.9868124026894014,27,0.21098939166833025,0.3061429027217037,0.03561893961291281,0.036934280604784105,1.9409255562106347,1.8718033503777223,0.06367450019337506,0.06367450019337506,27.279736644950905,27.31910829030487,4806,4806,25.875,region_turnover_hist,combined_power_law,0.6246630828766127,0.002678293837552752,local_histogram,0.054811908079840516,6,3701,24.375,25.875,local combined contaminant LF
circular_outer_lit,science,circle,525.2394690465387,1050.4789380930774,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600084,2263126,0.8704049561475706,0.03,0.25,ok,True,,circular_outer_lit,science,2263126,4.807935700978709,8.385782545672983,-0.6703538247691908,8.053447424518525,0.332335121154458,0.039630782141607174,1.0868848445133021,0.9956644024351294,25,0.09008286614991919,0.16335594160119418,0.02115025748554483,0.02202304810717439,1.7441544702783698,1.6750322644454574,0.033976315774759895,0.033976315774759895,27.39579647753565,27.439700898970315,4806,4806,25.875,region_turnover_hist,combined_power_law,0.6246630828766127,0.002678293837552752,local_histogram,0.054811908079840516,6,3701,24.375,25.875,local combined contaminant LF
circular_outer_lit,science,circle,525.2394690465387,1050.4789380930774,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2600084,2263126,0.8704049561475706,0.04,0.25,ok,True,,circular_outer_lit,science,2263126,4.807935700978709,8.130537035357193,-0.6211796482346056,7.7982019142027355,0.332335121154458,0.04087492864361054,1.082720746424965,0.9970136198557883,24,0.06684183985375527,0.13426717735256338,0.017929779414128752,0.018693890869490623,1.6910660917745075,1.621943885941595,0.027926159105087823,0.02792615910508782,27.42935738748985,27.474669278691948,4806,4806,25.875,region_turnover_hist,combined_power_law,0.6246630828766127,0.002678293837552752,local_histogram,0.054811908079840516,6,3701,24.375,25.875,local combined contaminant LF
