summary,signal_filter,color_filter,color_name,sampling_mode,color_index,sigma_proxy,notes
SBF-weighted circular-annuli color,F150W,F115W,F115W-F150W,wcs_bilinear,0.1543996092414635,0.013565727748139952,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,F150W,F115W,F115W-F150W,wcs_bilinear,0.14141759641844925,0.019184836164880547,simple annulus-matched diagnostic color summary
