region,role,status,kmin,kmax,mbar_spec_raw,mbar_spec,P0,Pr,P_fluc,Pr_over_P0,Imean,n_detected_sources,m_lim,lf_gamma,lf_fit_method
circular_inner_lit,science,ok,0.01,0.25,27.951407596890828,28.023563006452278,0.681101920739803,0.04379308272669828,0.6373088380131048,0.0642974001293828,0.6514341479391472,8498,26.875,0.2924972471167672,local_histogram
circular_inner_lit,science,ok,0.03,0.25,28.1060408470946,28.18967636804903,0.5906888933291139,0.04379308272669828,0.5468958106024157,0.07413899807711148,0.6514341479391472,8498,26.875,0.2924972471167672,local_histogram
circular_inner_lit,science,ok,0.04,0.25,28.118284696405148,28.202906649557526,0.584065111914309,0.04379308272669828,0.5402720291876107,0.07497979563128464,0.6514341479391472,8498,26.875,0.2924972471167672,local_histogram
circular_outer_lit,science,ok,0.01,0.25,27.133390400897714,27.145234255173715,0.3852642615912714,0.004179851398359207,0.3810844101929122,0.010849309980362596,0.1734643612455653,13460,27.875,0.2905275223621935,local_histogram
circular_outer_lit,science,ok,0.03,0.25,27.88657524703486,27.910407112074157,0.19252395989647436,0.004179851398359207,0.18834410849811514,0.021710811478253576,0.1734643612455653,13460,27.875,0.2905275223621935,local_histogram
circular_outer_lit,science,ok,0.04,0.25,28.001081528674348,28.02759674284884,0.17325360225911016,0.004179851398359207,0.16907375086075094,0.02412562477118376,0.1734643612455653,13460,27.875,0.2905275223621935,local_histogram
