model,description,n_parameters,intercept_mag,intercept_sigma_bootstrap_mag,slope_at_center,slope_sigma_bootstrap,sigma_int_mag,aicc,loo_bias_mag,loo_rms_mag,loo_median_abs_mag,bootstrap_success,coefficient_0,coefficient_0_sigma_bootstrap,coefficient_1,coefficient_1_sigma_bootstrap,coefficient_2,coefficient_2_sigma_bootstrap,coefficient_3,coefficient_3_sigma_bootstrap,delta_aicc,loo_rms_mpc,median_reported_sigma_mpc
constant,Constant,2,-1.949144584367167,0.0244152008991051,0.0,0.0,0.0863599163819483,-21.838739082473747,0.0013575535711569,0.0992029336230321,0.0688033816380393,400,-1.949144584367167,0.0244152008991051,,,,,,,9.473666978144184,0.7186796225831321,0.8093918098676451
linear,Linear,3,-1.96166499145562,0.0157260066236568,1.88898655172132,0.4424000724070502,0.0488983940169272,-30.98391802211534,-0.0039003970464518,0.0684114116661612,0.0545914406876963,400,-1.96166499145562,0.0157260066236568,1.88898655172132,0.4424000724070502,,,,,0.3284880385025914,0.5063986734629176,0.5672416980959826
