relation,subset,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,ols_slope_stderr
Direct SBF relation,All,14,0.3499282349126832,0.22001638753365182,0.45494505494505494,0.10215352669182914,0.07033772860000555,0.05435690526064728
Direct SBF relation,Fornax,3,0.07212710951362555,0.9540425495073156,0.5,0.6666666666666667,0.025268170508699124,0.3494158911878112
Direct SBF relation,Virgo,9,0.04423584109049983,0.9100303058785217,0.21666666666666667,0.5755148957119259,0.007059053251171321,0.06025565568927442
Residual after color relation,All,14,0.4790979173326253,0.08303920233458895,0.4813186813186813,0.08141829504280494,0.09401684842753191,0.04972414138641648
Residual after color relation,Fornax,3,0.25490956362360373,0.8359085951251386,0.5,0.6666666666666667,0.08693992679263655,0.3297948349466118
Residual after color relation,Virgo,9,0.25151585875529564,0.513864262742882,0.26666666666666666,0.4879222748387009,0.04241012282520391,0.06168287626874369
