annulus,model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance,bootstrap_success,slope_p16,slope_p50,slope_p84
inner,linear,14,3,0.5749297418537332,-3.2045709579253163,1.241008884158778,,,0.06777999438340097,16.27449403452367,-26.54898806904734,-24.14898806904734,True,sigma_color_stat_mag,True,2000,0.6568008416077943,1.1807875898454925,1.739204100401157
outer,linear,14,3,0.5749297418537332,-3.1674474310767047,0.08477079930409943,,,0.08931789290981797,13.09864202195841,-20.19728404391682,-17.79728404391682,True,sigma_color_stat_mag,True,2000,-0.38185053100227573,0.11242669359421388,0.5485917400565106
