galaxy,environment,annulus,color_F090W_F150W_observed,color_F090W_F150W,color_scatter,color_sem_proxy,mbar_F150W_observed,mbar_F150W,sigma_mbar,mu_lit,sigma_mu_lit,Mbar_F150W,sigma_Mbar,sigma_E_BV,cov_color_Mbar_extinction,color_table
NGC 4374,Virgo,inner,0.5954523552763722,0.5672936239963496,0.0369755448149958,4.65287116417356e-05,27.909048356071654,27.888207087351677,0.0217525625668524,31.112,0.027,-3.223792912648321,0.033826957633359966,0.006568725684874859,-2.8554684504301596e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4374/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292660/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4374,Virgo,outer,0.5926029606643864,0.5644442293843639,0.058247769602081,4.0160409458254535e-05,28.00291988400102,27.982078615281043,0.016977290643592,31.112,0.027,-3.129921384718955,0.0309728507261004,0.006568725684874859,-2.8554684504301596e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4374/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292660/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4406,Virgo,inner,0.6233962620960599,0.6027082146250229,0.0421259974698498,5.256272298972762e-05,27.80868590109187,27.793373948562905,0.0203658320615561,31.096,0.025,-3.3026260514370946,0.0316354591839902,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4406/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293351/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4406,Virgo,outer,0.6463357069624711,0.6256476594914341,0.0643096741774301,4.472063611201622e-05,27.905215372423623,27.889903419894658,0.017374618554226,31.096,0.025,-3.206096580105342,0.029797861200550252,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4406/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293351/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4472,Virgo,inner,0.6362560101816694,0.6207399745783917,0.0318562702189173,3.967904673207103e-05,27.716039358095852,27.70455539369913,0.0261953231994986,31.016,0.027,-3.311444606300867,0.03722837321583039,0.004667810837820647,-1.4419214770968088e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4472/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785290733/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4472,Virgo,outer,0.6497486702552877,0.63423263465201,0.0491075661941137,3.3083946494715755e-05,27.74551412222585,27.734030157829128,0.0421891543023983,31.016,0.027,-3.28196984217087,0.049796401029818825,0.004667810837820647,-1.4419214770968088e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4472/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785290733/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4486,Virgo,inner,0.6689538703790844,0.6528631667905,0.0328290720979063,4.105748375552073e-05,27.794806827610103,27.782897531198685,0.0242005988001406,31.046,0.025,-3.263102468801314,0.034358154484974195,0.004742476114729151,-1.488419732798564e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4486/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292329/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4486,Virgo,outer,0.6676742359545006,0.6515835323659163,0.0497715184130382,3.4698335862695415e-05,27.848314998885424,27.836405702474007,0.0262316759303172,31.046,0.025,-3.2095942975259923,0.03581779752359389,0.004742476114729151,-1.488419732798564e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4486/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292329/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4552,Virgo,inner,0.6121021281350576,0.5833687288697285,0.0455397075426731,5.701048202357779e-05,27.74838817565616,27.72712157492149,0.0216240120357706,30.923,0.028,-3.195878425078508,0.034525201659513664,0.006664298623945043,-2.9391653106933186e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4552/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291005/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4552,Virgo,outer,0.5926607927783987,0.5639273935130695,0.0726597578366722,5.124845689839045e-05,27.923105596124984,27.901838995390314,0.0139662179785856,30.923,0.028,-3.0211610046096844,0.030322382784542197,0.006664298623945043,-2.9391653106933186e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4552/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291005/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4621,Virgo,inner,0.5979085446558099,0.5754964932288531,0.052113099696228,6.59218644146843e-05,27.574560447127443,27.5579724985544,0.0244735855821703,30.821,0.026,-3.2630275014456025,0.0351017628451882,0.005648558243085114,-2.1114963592020803e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4621/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293681/jw03055-o009_t009_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4621,Virgo,outer,0.5846943479176083,0.5622822964906515,0.0778067008594579,5.52129481365366e-05,27.74777175372853,27.731183805155485,0.0141564746941825,30.821,0.026,-3.0898161948445164,0.0288718399025599,0.005648558243085114,-2.1114963592020803e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4621/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293681/jw03055-o009_t009_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4636,Virgo,inner,0.6181250962187183,0.5980117167329878,0.04601717368947,5.7417760223906466e-05,27.83618696861984,27.821300348105574,0.0248284549170557,31.07,0.026,-3.2486996518944267,0.035421810873820424,0.005303284650783685,-1.8612512012435444e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4636/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291336/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4636,Virgo,outer,0.62830307025376,0.6081896907680295,0.067983217885007,4.902719338458053e-05,27.94610236199961,27.931215741485342,0.0190451956105382,31.07,0.026,-3.138784258514658,0.03163814134642076,0.005303284650783685,-1.8612512012435444e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4636/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291336/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4649,Virgo,inner,0.6397918139304976,0.6214024384006869,0.0311133218449662,3.875245402160626e-05,27.864348577578404,27.850737953108215,0.0229313274526311,31.009,0.025,-3.1582620468917852,0.033414736133359435,0.005055399609952361,-1.691321212224404e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4649/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291667/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4649,Virgo,outer,0.6431977381347327,0.624808362604922,0.0518060342356728,3.5255597516155126e-05,27.907150127198996,27.893539502728807,0.0224477498223189,31.009,0.025,-3.1154604972711937,0.03308474397978111,0.005055399609952361,-1.691321212224404e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4649/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291667/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4697,Virgo,inner,0.5427905056390534,0.5221024581680164,0.0620648572061873,7.883128470240568e-05,26.980735127422083,26.965423174893118,0.0247656772669354,30.324,0.028,-3.3585768251068835,0.0368561247652599,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4697/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291998/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4697,Virgo,outer,0.5290938889617044,0.5084058414906674,0.084597946388305,6.1030585594685085e-05,27.154160707342424,27.13884875481346,0.0144336252127278,30.324,0.028,-3.1851512451865425,0.030876604395624452,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4697/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785291998/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
