galaxy,mbar_F150W,sigma_mbar_internal,Mbar_F150W,sigma_Mbar_internal,mu_lit,sigma_mu_lit,m160_ab,sigma_m160_ab,g475_z850,sigma_g475_z850,mu_sbf_loo,sigma_mu_sbf_internal,Mbar_F160W_individual,sigma_Mbar_F160W_individual,m150_minus_m160,sigma_m150_minus_m160,Mbar_F160W_calibrated,sigma_Mbar_F160W_calibrated,mu_F160W_jensen2015,sigma_mu_F160W_jensen2015,delta_mu_F150W_minus_F160W,sigma_delta_mu
NGC 1380,28.087220697660666,0.014890825159964519,-3.3207793023393357,0.028678066025492208,31.408,0.025,27.8,0.05,1.391,0.007,31.2859350502859,0.08142100906910732,-3.6080000000000005,0.05590169943749475,0.2872206976606648,0.05217026618625434,-3.7181699999999998,0.11835629683291042,31.51817,0.12848429086857271,-0.2322349497141012,0.15211046551053498
NGC 1399,28.157309919788286,0.022105396057957888,-3.340690080211715,0.033823761153694974,31.498,0.026,28.03,0.04,1.49,0.005,31.35491717324345,0.08137786875359769,-3.468,0.04770744176750625,0.127309919788285,0.04570173448436263,-3.5073,0.12034912754149904,31.537300000000002,0.12682236592967347,-0.1823828267565517,0.15068599809828973
NGC 1404,28.176997492516755,0.013786404082459472,-3.189002507483245,0.028195042979341386,31.366,0.025,27.94,0.06,1.471,0.006,31.386355329868387,0.08843423074070123,-3.4259999999999984,0.065,0.23699749251675328,0.06156350329151887,-3.5477699999999994,0.11962782828422491,31.48777,0.13383130164501877,-0.10141467013161432,0.1604101943976741
NGC 4472,27.712756712773142,0.023250694798156325,-3.303243287226856,0.03521862608575158,31.016,0.027,27.59,0.05,1.514,0.006,30.913385763200314,0.08596416586149146,-3.4259999999999984,0.05682429058070149,0.1227567127731426,0.0551415887384197,-3.45618,0.1220276067125796,31.04618,0.1318739428393646,-0.13279423679968616,0.15741846973040366
NGC 4649,27.87259478659184,0.016981317228218683,-3.1364052134081604,0.02964901257930255,31.009,0.025,27.63,0.05,1.554,0.006,31.086036701017747,0.08704373565789493,-3.3790000000000013,0.05590169943749475,0.24259478659184097,0.052804972633317376,-3.3709799999999994,0.1251887566836575,31.00098,0.1348043945871202,0.08505670101774854,0.16046444066297522
