test,n,intercept,slope,sigma_int_mag,loo_rmse_mag,aicc
Линейная зависимость,14,-3.172555291867664,0.6655901219598196,0.06946845090553512,0.09873900361045634,-21.11450826487284
Все 14: ограниченный визуальный вес,14,-3.1704495278664493,0.7248939663384699,0.0718395225497312,0.09905217081645258,
Все 14: прямой вес score/10,14,-3.1674886373331503,0.8173053076639823,0.07427791726207543,0.09973791524251306,
11/14 с оценкой ≥ 6,11,-3.161946006116067,1.0477603856367264,0.06790324773267657,0.10205378766301018,-14.220174312981905
